交货委托ID	交货委托名称	交货委托回报
0	發芽吧古代樹	活性劑
1	草木們，健康地成長吧。	植物肥料‧大
2	香菇堆積如山！	嚴選香菇菌床
3	招蟲名樹計劃	濃厚招蟲果凍
4	古代樹萌芽突破天際	遠古活性劑
5	柔和的土壤是古代樹的溫床	軟土
6	嘲笑收納者將為收納而哭泣	收穫箱的擴張
7	不過只是收納，其實很難收納	收穫箱的擴張
8	古代樹森林營地計劃之１	北西營地(8)
9	古代樹森林營地計劃之２	古代樹營地(17)
10	大蟻塚荒地營地計劃之１	中央營地(6)
11	Invalid Message	Invalid Message
12	大蟻塚荒地營地計劃之２	北東營地(15)
13	陸珊瑚台地營地計劃	北東營地(12)
14	龍結晶之地營地計劃之１	東營地(8)
15	龍結晶之地營地計劃之２	北西營地(16)
16	幸福的捷徑	纜車
17	開發武器店的特殊裝備	耐水衣裝
18	再次開發武器店的特殊裝備	耐寒衣裝
19	香菇發出的豐富香氣	帝王松露
20	燉煮燒烤都美味的魚	咬魚的下巴
21	如寶石般的蝦	珊瑚蝦
22	勝過百萬z景色的蔬菜	百萬高麗菜
23	活了上千年的螃蟹！？	千年蟹
24	那鮮紅的是蕃茄還是熔岩？	霜降蕃茄
25	爆漿肉汁的抵抗	豪快臀肉
26	連骨帶肉的抵抗	高級羊肉
27	古代魚的洗禮	古代真鯛
28	擁有五種面貌的蔬菜	五香芹菜
29	甜椒七變化！	七彩甜椒
30	適合達人的一杯	達人啤酒
31	注意會噴火的美酒	火龍威士忌
32	取得回復藥‧大	骰子肉
