Gallery ID	Gallery Name	Gallery Desc
EVC0001	Путешествие начинается	Пятый флот отправляется в Новый Свет.Полный надежд охотниквступает в их ряды.
EVC0002	Судьбоносные встречи	Удачная встреча единомышленниковнеудачно прервана. А все из-за чего...?
EVC0003	Взгляд на Новый Свет	Охотник и проводник улетают прочь отнеизвестного исполина. С высоты птичьегополета им видны просторы Нового Света.
EVC0051	Лесные проказники	Оказавшись в гуще Древнего леса,парочка в поисках базы натыкаетсяна стаю яграсов.
EVC0004	Застигнутые врасплох	Пока проводник с интересом изучаетследы, на нее нападает чудовище,которое их оставило.
EVC0005	Драка на заставе	Прямо у самой базы охотник вмешиваетсяв яростную схватку двух чудовищ.
EVC0006	Астера	Случайное приключение подходит к концу:охотник и проводник прибывают на базуэкспедиции, Астеру.
EVC0052	Верный спутник охотника	Разлученные во время атаки исполинскогомонстра, охотник и палико наконецнаходят друг друга.
EVC0055	Осторожно, хрупкий груз	На месте разрушенного лагеря охотник икомандир полевого отряда натыкаютсяна рыщущего в округе кулу-йа-ку.
EVC0007	За светлячками	Получив сигнал от светляков, группанаблюдает за поки-поки, беспокойномечущимися у загадочной дымящейся кучи.
EVC0056	Путешествие по долине	Охотник готовится сопровождать ученыхк возможному следу Дзоры Магдароса.
EVC0008	Опасная работа	Группа жаждет заполучить образцы,но им преграждает путь пробившийсясквозь столп баррот.
EVC0009	Виверианский мудрец	Проводив ученых, охотник встречаетзагадочного виверианского охотникаиз Первого флота.
EVC0010	Неспокойное болото	Выйдя на поиски пропавшего ученого,охотник обнаруживает его трясущегосяот страха рядом с жутким чудовищем.
EVC0011	Величественный тоби-кадачи	Сверху падают перья. Охотник,почуяв неладное, поднимает голову ивидит нового зверя, свисающего с ветки.
EVC0012	Аньянат-берсерк	Охотнику предстоит рискованная миссия:заманить ревностно охраняющего своютерриторию аньяната в ловушку.
EVC0013	"Операция ""Захват"""	Экспедиция до рассвета разрабатываетплан поимки Дзоры Магдароса.Но прольется ли свет на перелет Древних?
EVC0014	Итоги	Неизвестное чудовище прерывает операцию.Охотник всеми силами пытается отразитьатаку, но принесет ли это успех?
EVC0015	Через Великое ущелье	Следуя по пятам Дзоры Магдароса, охотники проводник пересекают ущелье,и их взору открывается удивительный вид.
EVC0060	Ослепляющая защита	Стая шамосов окружает цици-йа-ку,как вдруг поляну освещает яркаявспышка света.
EVC0061	Парящая виверна	Охотник идет по следу занятногосущества. Вдруг оно пропадает из виду, итут же появляется прямо перед охотником.
EVC0016	В Гнилую долину	Исследовательская база ловиттечение и устремляется ввысь.Пункт назначения: Гнилая долина.
EVC0062	Новый друг	Исследовав Гнилую долину, охотники проводник встречаются в лагереи знакомятся со следопытом.
EVC0017	Костяной бахамут	Расследование внезапно прервано: земляпод ногами охотника трясется, и наповерхность вылезает костяной монстр.
EVC0018	Элегантный охотник небес	Экспедиция готовит корабль для спускав долину на поиски следов Дзоры,но легиана нарушает планы.
EVC0019	Неприятности в долине	Охотник с проводником выслеживают Дзору,когда на них нападает одогарон. Особенноего интересует проводник.
EVC0020	Ответы из долины	Охотник и проводник снова встречаютследопыта, и та раскрывает тайнуперелета Древних.
EVC0021	Крона Древнего древа	Охотник и проводник лезут по древу,ища первых виверианцев, а встречаютвладыку небес раталоса.
EVC0022	Ярость в песках	Ноиосы и баррот делят территорию, но тутиз песка вылезает двурогий демон.Добром это не кончится!
EVC0023	"Начало операции ""Приманка"""	Операция по выманиванию Дзоры Магдаросав море наконец началась!
EVC0024	Цикл продолжается	Операция прошла успешно. Экспедициянаблюдает за Дзорой, исчезающим в море.
EVC0025	Королева неизвестных земель	Охотник и проводник отправляются вКоралловое нагорье на поиски хозяинанеобычных следов. Что же их ждет?
EVC0034	Возвращение адмирала!	В Новом Свете обнаружены подвиды.Начинается расследование этого феномена.Прибывает адмирал.
EVC0026	В убежище	Вслед за адмиралом охотник и проводникступают по земле, усыпанной огромнымиблестящими кристаллами.
EVC0063	Кристаллический обжора	В глубине сверкающей пещеры додогамажадно пожирает кристаллы. Но ему всемало, и он поворачивается к охотнику.
EVC0027	Черная стрела	Охотник наконец встречается лицомк лицу с пожирателем Древних драконов,ужасным нергигантом.
EVC0028	Бесконечные загадки	Хотя охотник и выходит победителем избитвы с нергигантом, не все тайныеще разгаданы.
EVC0064	Магмовая виверна	В глубине сверкающей пещеры с лавойвоздух наполняется тревогой, когдаохотник чувствует дрожь под ногами.
EVC0065	Раскат грома	Огромное каменное колесо катится поубежищу Древнего, разметая булыжникина своем пути.
EVC0029	Ваал-хазак, демон из ада	Стая гирросов позабыла о своем ещетрепыхающемся ужине и обратила свой взорна охотника.
EVC0030	Кушала-даора, стальной дракон	Охотник любуется кристальной крепостью,но внезапный порыв ветра возвращаетохотника к реальности.
EVC0031	Адский теостра	Охотник осторожно ступает по туннелюс лавой, как вдруг сверху обрушиваютсявсполохи огня. Что скрывается за ними?
EVC0032	Точка слияния	Группа прибывает к истоку Вечноречья,где неизвестное существо шевелитсяв коконе...
EVC0033	Миссия выполнена	Уничтожив неизвестное чудовище,охотник отступает из рушащейся пещеры.
EVC0035	Исход	После долгих лет тайна Перелета Древнихнаконец раскрыта. Все празднуют,когда приходят вести из гильдии...
EVC0036	Новые берега	Одна тайна раскрыта, но путешествиеохотника продолжается, к дальнимгоризонтам Нового Света.
EVC0066	Исполин-вулкан	Гигантский Древний дракон, подобноживому вулкану, медленно движется,сотрясая землю, к неизвестной цели.
EVC0067	Повелитель Древних драконов	Новое существо появилось на свет. По еготелу разливается энергия Вечноречья.Воздух прорезает истошный крик.
EVC0068	На краю земли	Гнилая долина: кладбище останков иядовитые испарения, разъедающие изнутрилюбого, кто осмелится сюда забраться.
EVC0070	Ненасытный девильо	Древний лес — запретная территория длябольшинства членов экспедиции, и вашегопроводника ждет немало опасностей.
EVC0071	Верная императрица	Перед спящим теострой появляется нергигант.Древние драконы готовы вступить в бой,как вдруг на арену выходит Императрица.
EVC0072	Скользящее золото	Свет пробивается в пещеру, в которойраздается рычание существа,напоминающего огромную гору золота.
EVC0074	Пришелец из Эорзеи	В погоне за быстрым кактуаром охотник наткнулсяна таинственный голубой кристалл,кулу-йа-ку и странное пушистое создание!
EVC0075	Нисхождение зверя	Упавший с неба огромный метеор уничтожил и выжегвсе вокруг. Прибывший на место падения охотникобнаружил там неизвестного зверя...
EVC0078	Геральт из Ривии	В Новом Свете появляется ведьмак Геральт.Экспедиция просит его расследоватьтаинственные события.
EVC0079	Существо из иного мира	Странные происшествия в Древнем лесувызваны лешим, существом,контролирующим все на своей территории.
EVC0080	Оно вышло из портала	Древний леший появляется в Древнемлесу. Он немедленно берет под контрольживущих там яграсов.
EVC0081	Концовка: Тайна раскрыта	Геральт побеждает лешего, оставляя вамрунный камень Охотника, прежде чем покинутьАстеру. Но остается еще одна небольшая загадка...
EVC0082	Концовка: Дар вождя	Геральт снимает проклятье, наложенное навождя, и гаялака благодарят его за услугу, сопроводив это небольшим шоу.
EVC0083	Концовка: Крохотный друг	Геральт побеждает лешего, и когдасобирается покинуть Астеру, грималкинверхом на поки-поки подносит ему дар.
EVC0084	Концовка: Задание выполнено	После спасения вождя гаялака ипоки-поки Геральт возвращается в свой мирчерез портал лешего.
EVC1000	Бурчанье	<LSNR {Охотник}{Охотница}> и Проводник отправляются вДревний лес, чтобы расследовать странныесообщения о появлении легиан.
