Achieve ID	Achieve Name	Achieve Desc
000	Завоеватель Нового Света	Получить все медали.
001	Новый Свет ждет!	Открыть 2<ICON STAR_1> сюжетные задания.
002	Эту экспедицию не остановить	Открыть 3<ICON STAR_1> сюжетные задания.
003	Защитник Астеры	Открыть 4<ICON STAR_1> сюжетные задания.
004	Глубокое погружение	Открыть 5<ICON STAR_1> сюжетные задания.
005	Смерть дает жизнь	Успешно выследить Дзору Магдарос.
006	Императрица Кораллового нагорья	Открыть 7<ICON STAR_1> сюжетные задания.
007	Один выстоит, другой падет	Открыть 8<ICON STAR_1> сюжетные задания.
008	Сапфировая звезда	Разгадайте тайну перелета Древних.
009	Охотник на всю жизнь	Выполнить 50 дополнительных заданий.
010	Пытливый ум	Выполнить первое расследование.
011	Лицензия на охоту	Выполнить 50 расследований.
012	Появление на арене	Выполнить первое задание на арене.
013	Путь наверх	Выполнить 50 заданий на арене.
014	Поселенец Нового Света	Построить пять лагерей.
015	Искусство маскировки	Спрятаться в кустах от стаи яграсов.
016	В поисках клева	Поймать свой первый улов.
017	М-м-м, выглядит аппетитно!	Приготовить хорошо прожаренный стейк.
018	Чем больше шкаф...	Оседлать первое чудовище.
019	Живое ископаемое	"Поймать рыбу - ""живое ископаемое""."
020	Обнимашки	Поймать пушистое, милое существо.
021	Щетина	Поймать хмурое, щетинистое существо.
022	Цвета радуги	Поймать существо, переливающеесяцветами радуги.
023	Заказная работа	Получить 100 000 очков исследования.
024	Богатый охотник	Накопить 1 000 000 зени.
025	Неприступная защита	Собрать 5 частей доспеховвысокой редкости.
026	Сила решает все	Собрать 5 единиц оружиявысокой редкости.
027	Путь к комфорту	Переехать в улучшенную комнату.
028	Первые друзья	Подружиться с первым миньоном.
029	Не разлей вода	Повысить обращение с любымустройством палико до ур. 10.
030	Доктор монстрологии	Максимизировать уровень исследования(до высокого ранга) для многих монстров.
031	Жесткий характер	Выследить первое закаленное чудовище.
032	Упрямство	Выследить 50 закаленных чудовищ.
033	Крохотная корона	Добудьте вашу первую крохотнуюкорону за чудовищ низкого иливысокого ранга.
034	Коллекция крохотных корон	Получите крохотную корону за 10или более чудовищ низкогоили высокого ранга.
035	Мастер крохотных корон	Получить крохотную корону за многихчудовищ в своем охотничьем журнале.
036	Огромная корона	Добудьте вашу первую серебрянуюкорону или выше за чудовищнизкого или высокого ранга.
037	Коллекция огромных корон	Получите золотую корону за 10или более чудовищ низкогоили высокого ранга.
038	Мастер огромных корон	Получить золотую корону за многихчудовищ в своем охотничьем журнале.
039	Юный ловчий	Поймать первое чудовище.
040	Мастер ловли	Поймать 50 чудовищ.
041	Драконоборец	Убить 50 древних драконов.
042	Гроза чудовищ	Выследить 100 крупных чудовищ.
043	Мастер-охотник	Выследить 500 крупных чудовищ.
044	ПОМОГИТЕ!	Подать сигнал SOS в первый раз.
045	Подкрепление прибыло	Отозваться на сигнал SOS и помочьвыполнить 10 заданий.
046	Дружные герои	Выполнить задание в сетевой игре.
047	Неразлучные герои	Выполнить 100 заданий в сетевой игре.
048	Путь к известности	Собрать 50 карт гильдии.
049	Бывалый охотник	Получить 100-й ранг охотника.
000doc3	Призовой комплект Monster Hunter: World	Invalid Message
050	Завоеватель Внутренних земель	Получите все медалив Monster Hunter World: Iceborne.
051	Начало новой экспедиции	Получите право выполнять 1<ICON STAR_1>сюжетные задания ранга мастера.
052	Пора взяться за дело	Получите право выполнять 2<ICON STAR_1>сюжетные задания ранга мастера.
053	Неуловимый Древний дракон	Получите право выполнять 3<ICON STAR_1>сюжетные задания ранга мастера.
054	Несгибаемый дух	Получите право выполнять 4<ICON STAR_1>сюжетные задания ранга мастера.
055	Старый Змей	Получите право выполнять 5<ICON STAR_1>сюжетные задания ранга мастера.
056	Конец и начало	Решите загадку Старого Змея.
057	К великим открытиям	Добраться до Путеводных земель.
058	Развивающаяся экология	Улучшите любой регион до уровня 7.
059	В поисках редкого сырья	Соберите сырье в редкихзалежах и грудах костей.
060	Неутомимый исследователь	Изучите 50 особых следов.
061	Итог судьбы	Убейте нергиганта-губителя вПутеводных землях, снявограничение ранга мастера.
062	Мастер-исследователь	Разбейте все лагеряна Морозном просторе.
063	Отдушина	Отдохните в природном горячем источнике.
064	Неофит хватательного когтя	Освойте хватательный коготь.
065	Золотой блеск	Поймайте существо с золотым отливомна Морозном просторе.
066	Направляющий друг	Поймайте существо, котороена что-то указывает.
067	Приятная мелодия	Поймайте существо, напевающеепрекрасную мелодию.
068	Подводная загадка	Поймайте таинственное существо,таящееся под водной гладью.
069	Небесная иллюзия	Поймайте таинственное существо,летающее по небу.
070	Ловкий копатель	Поймайте существо, любящеерыть норы в земле.
071	Создания земли	Поймайте норное существоиз каждого региона.
072	Непоколебимая защита	Соберите пять частей доспеховневероятной редкости.
073	Сокрушительное нападение	Соберите 5 частей оружияневероятной редкости.
074	Личное сокровище	Наденьте первый кулон.
075	Первая поездка	Используйте первую поездку верхом.
076	Опытный наездник	Используйте поездку верхом много раз.
077	Начинающий коллекционер	Найдите первое сокровище.
078	Коллекционер-ветеран	Найдите все сокровищав определенной местности.
079	Совершенный коллекционер	Найдите все сокровища.
080	Начинающий дизайнер	Впервые смените интерьервашей комнаты.
081	Дизайнер интерьера	Соберите 50 разных типовукрашений для комнаты.
082	Мастер-архитектор	Соберите 120 разных типовукрашений для комнаты.
083	Инженер-энтузиаст	Помогите с паровой станцией 20 раз.
084	Опытный инженер	Получите джекпот на паровой станции.
085	Еще одна крохотная корона	Получите первую крохотную коронуза поимку местной живностина ранге мастера
086	Еще одна огромная корона	Получите первую золотую коронуза поимку местной живностина ранге мастера.
087	Начинающий наблюдатель	Завершите первое задание по наблюдениюдля исследователя линианцев.
088	Выдающийся наблюдатель	Завершите много заданий по наблюдениюдля исследователя линианцев.
089	Охотник-помощник	Помочь охотнику высокого илинизкого ранга в 10 заданияхв качестве охотника ранга мастера.
090	Мастер из мастеров	Достигните ранга мастера 200.
091	Мастер монстров	Увеличьте уровень исследования для почтивсех больших монстров до максимального.
092	Истинный коллекционер крохотных корон	Получите крохотную корону почти за всехчудовищ в своем охотничьем журнале.
093	Истинный коллекционер больших корон	Получите золотую корону почти за всехчудовищ в своем охотничьем журнале.
094	Начало настоящей охоты	Выследите свое первое крупное чудовищев задании ранга мастера.
095	Гениальный охотник	Выследите 100 крупных чудовищв заданиях ранга мастера.
096	Мастер-ловец	Поймайте 50 крупных чудовищв заданиях ранга мастера.
097	Мастер-убийца	Убейте 50 Древних драконовв заданиях ранга мастера.
