Gallery ID	Gallery Name	Gallery Desc
EVC0001	Die Reise beginnt	Die 5. Flotte tritt ihre Reise in die Neue Welt an.<LSNR {Ein vielversprechender Jäger} {Eine vielversprechende Jägerin}> ist seit Kurzem dabei.
EVC0002	Schicksalsbegegnungen	Einem Treffen von Seelenverwandten folgt eine äußerstungünstige Unterbrechung. Und der Grund dafür...?
EVC0003	Die Neue Welt	<LSNR {Der Jäger} {Die Jägerin}> und die Wildexpertin fliegen dem unbekanntenRiesen davon und erleben die strahlende Neue Welt von oben.
EVC0051	Die Schurken des Waldes	Gestrandet im Uralten Wald machen sich die beiden zurBasis auf, allerdings steht ihnen ein Rudel Jagras im Weg.
EVC0004	Total überrascht	Die mit dem Lesen von Spuren beschäftigte Wildexpertin wirdvon dem Monster angesprungen, das sie hinterlassen hat.
EVC0005	Radau am Kontrollpunkt	Kurz bevor sie die Basis betreten, gerät <LSNR {der Jäger} {die Jägerin}>in einen heftigen Kampf zweier Monster.
EVC0006	Astera	Nach dem Ende ihres spontanen Abenteuers sind <LSNR {der Jäger} {die Jägerin}>und die Koordinatorin in Astera, der Basis der Kommission, in Sicherheit.
EVC0052	Ein treuer Jagdbegleiter	Nachdem sie während des Vorfalls mit dem Riesenmonstergetrennt wurden, treffen sich <LSNR {der Jäger} {die Jägerin}> und <LSNR {sein} {ihr}> Palico wieder.
EVC0055	Vorsicht, zerbrechlich!	Im zerstörten Lager treffen <LSNR {der Jäger} {die Jägerin}> und derAnführer des Feldteams auf einen Kulu-Ya-Ku.
EVC0007	Den Spähkäfern auf der Spur	Von den Spähkäfern geleitet, erblickt die Gruppe einenPukei-Pukei, den ein Haufen glimmender Schlacke angelockt hat.
EVC0056	Ein Vorstoß in die Ödnis	<LSNR {Der Jäger} {Die Jägerin}> macht sich bereit, die Gelehrten bei ihrer Untersuchungeiner möglichen Spur des Zorah Magdaros zu eskortieren.
EVC0008	Berufsrisiko	Während die Gruppe Proben sammelt, greift sie eindurch einen Wildturm brechender Barroth an.
EVC0009	Der weise Wyverianer	Nachdem <LSNR {er} {sie}> die Gelehrten eskortiert hat, trifft <LSNR {der Jäger} {die Jägerin}>einen mysteriösen wyverianischen Jäger der 1. Flotte.
EVC0010	Der ruhelose Sumpf	<LSNR {Der Jäger} {Die Jägerin}> findet den nach der Begegnungmit einem Monster verängstigten Gelehrten.
EVC0011	Der anmutige Tobi-Kadachi	Nachdem <LSNR {der Jäger} {die Jägerin}> Federn sieht und hinaufblickt,entdeckt er eine neue Bestie hoch oben in den Bäumen.
EVC0012	Anjanath, der Berserker	<LSNR {Der Jäger} {Die Jägerin}> versucht, den sein Territoriumverteidigenden Anjanath in eine Falle zu locken.
EVC0013	Der Fangeinsatz	Die Kommission will den Zorah Magdaros fangen. Wird sieAufschluss über die geheimnisvolle Ältestenwanderung erhalten?
EVC0014	Das Endergebnis	Ein neues Monster behindert den Einsatz.<LSNR {Der Jäger} {Die Jägerin}> nutzt <LSNR {seine} {ihre}> ganze Kraft, um es zu verjagen.
EVC0015	Die Große Schlucht	Auf der Jagd nach dem Zorah Magdaros bietet sich <LSNR {dem Jäger} {der Jägerin}> und derWildexpertin nach dem Überqueren der Schlucht ein toller Anblick.
EVC0060	Eine blendende Verteidigung	Ein Rudel Shamos umzingelt einen Tzitzi-Ya-Ku,als das Gebiet von einem Lichtstrahl durchflutet wird.
EVC0061	Der schwebende Wyvern	Auf der Jagd nach einer schwebenden Kreatur verliert<LSNR {der Jäger} {die Jägerin}> es aus den Augen und tritt ihm später gegenüber.
EVC0016	Ins Tal der Verwesung	Mit neuen Ballons ausgestattet erhebt sich die Forschungsbasisin die Lüfte. Ihr Ziel: das Tal der Verwesung.
EVC0062	Ein neuer Freund	Nach der Erkundung des Tals der Verwesung treffen<LSNR {der Jäger} {die Jägerin}> und die Wildexpertin die Fährtenleserin.
EVC0017	Das Knochenungeheuer	Die Untersuchung <LSNR {des Jägers} {der Jägerin}> wird unterbrochenda eine Monstrosität aus scharfen Knochen erscheint.
