Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Jagras del Bosque Primigenio	Abate a 7 Jagras	Se te acaba el tiempoTe has desmayado tres veces
00102	Un follón Kestodon	Completa el encargo	Se te acaba el tiempoTe has desmayado tres veces
00103	La cacería del Gran Jagras	Caza un Gran Jagras	Se te acaba el tiempoTe has desmayado tres veces
00151	Cabezones con naturaleza	Abate a 12 Kestodon	Se te acaba el tiempoTe has desmayado tres veces
00152	Un matorral de matones	Abate a 7 Jagras	Se te acaba el tiempoTe has desmayado tres veces
00153	Fungoflexión en el Bosque Primigenio	Entrega 20 sombreros de seta gourmet	Se te acaba el tiempoTe has desmayado tres veces
00201	Bandido con cerebro de pájaro	Caza un Kulu-Ya-Ku	Se te acaba el tiempoTe has desmayado tres veces
00205	Urgente: la caza del Pukei-Pukei	Caza un Pukei-Pukei	Se te acaba el tiempoTe has desmayado tres veces
00241	Descubre la garra retráctil	Aprende cómo funcionala garra retráctil	Se te acaba el tiempoTe has desmayado tres vecesHas cazado al Gran Jagras
00251	El gran glotón	Caza un Gran Jagras	Se te acaba el tiempoTe has desmayado tres veces
00252	Destroza campamentos	Caza un Kulu-Ya-Ku	Se te acaba el tiempoTe has desmayado tres veces
00261	Atrapa al ladrón	Captura un Kulu-Ya-Ku	Se te acaba el tiempoTe has desmayado tres vecesEl Kulu-Ya-Ku ha muerto
00262	Los peces, mejor con colmillos	Abate a 7 Gajau	Se te acaba el tiempoTe has desmayado tres veces
00263	Exterminador del yermo	Abate a 14 Vespoid	Se te acaba el tiempoTe has desmayado tres veces
00301	El mejor tipo de misión	Completa el encargo	Se te acaba el tiempoTe has desmayado tres veces
00302	Sombras en el pantano	Completa el encargo	Se te acaba el tiempoTe has desmayado tres veces
00305	Saltan chispas: Tobi-Kadachi	Caza un Tobi-Kadachi	Se te acaba el tiempoTe has desmayado tres veces
00306	El Anjanath invasor	Caza un Anjanath	Se te acaba el tiempoTe has desmayado tres veces
00331	Arena especial: Pukei-Pukei	Caza un Pukei-Pukei	Se te acaba el tiempoTe has desmayado tres veces
00332	Arena especial: Barroth	Caza un Barroth	Se te acaba el tiempoTe has desmayado tres veces
00333	Arena especial: Tobi-Kadachi	Caza un Tobi-Kadachi	Se te acaba el tiempoTe has desmayado tres veces
00351	Escasez de fragmenuez	Caza un Pukei-Pukei	Se te acaba el tiempoTe has desmayado tres veces
00352	La situación actual	Caza un Tobi-Kadachi	Se te acaba el tiempoTe has desmayado tres veces
00361	Atrapado en la aguja	Caza un Barroth	Se te acaba el tiempoTe has desmayado tres veces
00362	Problema acuático	Caza un Jyuratodus	Se te acaba el tiempoTe has desmayado tres veces
00363	Un asunto espinoso	Entrega 20 cactus bola	Se te acaba el tiempoTe has desmayado tres veces
00364	La yema del yermo	Entrega 2 huevos de herbívoros	Se te acaba el tiempoTe has desmayado tres veces
