Askill ID	Askill Code	Askill Name	Askill Upgrade Name	Askill Desc
0	ASkill001	عباءة غيلي	عباءة غيلي+	تخفيك عن العدو بشكل مؤقت.سينتهي التأثير إذا قمت بشنهجوم أو أُصبت بضرر.
1	ASkill002	عباءة مؤقّتة	عباءة مؤقّتة+	تبطل مفعول ضرر الهجماتالقوية عن طريق التفادي التلقائي.
2	ASkill003	معزز الصحة	معزز الصحة+	يضع مدخنة تستعيدصحتك تدريجيًا.
3	ASkill004	عباءة ثابتة	عباءة ثابتة+	تقضي على ردود الأفعالالناتجة عن الضرر وتمنع تأثيراتالرياح وتحمي سمعك وتمنحكمقاومة الارتجاج. كما سيقلضرر الهجمات التي تتلقاها.
4	ASkill005	عباءة المتحدّي	عباءة المتحدّي+	يدفع الوحوش إلى استهدافكبشكل متزايدويسهل من استدراجهم.ينتهي التأثير إذا هوجمتَ.
5	ASkill006	عباءة الحيوية	عباءة الحيوية+	يبطل كمية محددة من الضرر.ينتهي بعدها التأثير.
6	ASkill007	عباءة مقاومة للنيران	عباءة مقاومة للنيران+	تقلل من ضرر النيران،وتُبطل وباء النار ووباء الانفجاروتمنع الضرر الناتجعن البيئات الحارة.
7	ASkill008	عباءة مقاومة للماء	عباءة مقاومة للماء+	تقلل من ضرر الماء وتُبطلوباء الماء وتسّهل الحركةفي الوحل وتبطل مفعولها جميعًافي المياه العميقة.
8	ASkill009	عباءة مقاومة للثلج	عباءة مقاومة للثلج+	تقلل من ضرر الثلج وتبطل مفعولوباء الثلج.
9	ASkill010	عباءة مقاومة للرعد	عباءة مقاومة للرعد+	تقلل من ضرر الرعدوتبطل مفعول وباء الرعدوالشلل.
10	ASkill011	عباءة مقاومة للتنين	عباءة مقاومة للتنين+	تقلل من ضرر التنين وتبطلوباء التنين وتزيد من قوةخصائص التنين لسلاحك.
11	ASkill012	معزز المطهِر	معزز المطهِر+	يضع مدخنة تزيلأي آثار غريبة للوضعيةوالأوبئة العنصرية.
14	ASkill015	عباءة الطيران	عباءة الطيران+	تزيد من مدة القفز في الهواء وتُكسب القوة على الطيران وسط الرياح القوية. كما تسهّلامتطاء الوحوش.
15	ASkill016	عباءة التفادي	عباءة التفادي+	تزيد مدة المناعة أثناء التفاديوتعزز الهجوم مؤقتًالتفادي هجمة الوحش في آخر دقيقة.
16	ASkill017	عباءة التصادم	عباءة التصادم+	تضيف أثر الصعق لمعظمالهجمات أو تزيد من فاعليةأثر الصعق الحالي.
17	ASkill018	عباءة العلاج	عباءة العلاج+	تزيد من إمكانية تشغيلازدياد الوضعية أثناء الهجومبأسلحة تحدث وضعيات غير عادية.
18	ASkill019	عباءة الحصانة	عباءة الحصانة+	تزيل وتبطل كل الآثارالغريبة للوضعية في مدة سريانها.
19	ASkill020	معزز النسبة	معزز النسبة+	يضع مدخنة تزيد من النسبة.
20	ASkill021	عباءة قاطع الطريق	عباءة قاطع الطريق+	تجبر الوحوش على إسقاطعناصر نادرة للمبادلة عندمهاجمتها.
21	ASkill022	قلنسوة القاتل	قلنسوة القاتل+	تزيد سرعة الحركة وتسمح بالاختباءبسهولة. تلحق ضررًا كبيرًابوحش غير منتبه،ثم ينتهي التأثير.
