Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	جاغراس الغابة العتيقة	ذبح 7 من الجاغراس	انتهاء الوقتفقدان الوعي 3 مرات
00102	غضب كيستودون	أكمل التكليف	انتهاء الوقتفقدان الوعي 3 مرات
00103	صيد جاغراس العظيم	صيد جاغراس العظيم	انتهاء الوقتفقدان الوعي 3 مرات
00151	مناطحة الطبيعة	ذبح 12 من الكيستودون	انتهاء الوقتفقدان الوعي 3 مرات
00152	أجّمة السفاحين	ذبح 7 من الجاغراس	انتهاء الوقتفقدان الوعي 3 مرات
00153	جمع الفطريات في الغابة العتيقة	تسليم 20 من ذواقة فطر الروح	انتهاء الوقتفقدان الوعي 3 مرات
00201	قاطع الطريق الأبله	صيد كولو-يا-كو	انتهاء الوقتفقدان الوعي 3 مرات
00205	عاجل: صيد بوكي-بوكي	صيد بوكي-بوكي	انتهاء الوقتفقدان الوعي 3 مرات
00241	تعلّم استخدام القابض	تعلم كيفية استعمال المخلب القابض	انتهاء الوقتفقدان الوعي 3 مراتصيد جاغراس العظيم
00251	الشره العظيم	صيد جاغراس العظيم	انتهاء الوقتفقدان الوعي 3 مرات
00252	مقتحم المعسكر	صيد كولو-يا-كو	انتهاء الوقتفقدان الوعي 3 مرات
00261	سرقة الخاطف	أسر كولو-يا-كو	انتهاء الوقتفقدان الوعي 3 مراتتم ذبح كولو-يا-كو
00262	عناء المكاسب	ذبح 7 من الغاجاو	انتهاء الوقتفقدان الوعي 3 مرات
00263	ماحي الأنقاض	ذبح 14 من الفيسبويد	انتهاء الوقتفقدان الوعي 3 مرات
00301	أفضل مهمة	أكمل التكليف	انتهاء الوقتفقدان الوعي 3 مرات
00302	الظلال المشؤومة في المستنقع	أكمل التكليف	انتهاء الوقتفقدان الوعي 3 مرات
00305	تطاير الشرر: توبي-كاداتشي	صيد توبي-كاداتشي	انتهاء الوقتفقدان الوعي 3 مرات
00306	أنجاناث المتجاوز	صيد أنجاناث	انتهاء الوقتفقدان الوعي 3 مرات
00331	حلبة مميزة: بوكي-بوكي	صيد بوكي-بوكي	انتهاء الوقتفقدان الوعي 3 مرات
00332	حلبة مميزة: باروث	صيد باروث	انتهاء الوقتفقدان الوعي 3 مرات
00333	حلبة مميزة: توبي-كاداتشي	صيد توبي-كاداتشي	انتهاء الوقتفقدان الوعي 3 مرات
00351	نقص البندق المتناثر	صيد بوكي-بوكي	انتهاء الوقتفقدان الوعي 3 مرات
00352	الوضع الحالي	صيد توبي-كاداتشي	انتهاء الوقتفقدان الوعي 3 مرات
00361	ورطة الصاعق	صيد باروث	انتهاء الوقتفقدان الوعي 3 مرات
00362	مشكلة سمكية	صيد جيوراتودوس	انتهاء الوقتفقدان الوعي 3 مرات
00363	مأزق شائك	تسليم 20 من الصبّار الحليّ	انتهاء الوقتفقدان الوعي 3 مرات
