Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	الجرعة	Item	0	تستعيد كمية صغيرة منالصحة.
2	جرعة عملاقة	Item	1	تستعيد كمية متوسطة منالصحة.
3	الجرعة القصوى	Item	2	تستعيد كامل الصحةوتزيد من حجممقياس الصحة.
4	الجرعة القديمة	Item	4	تستعيد كامل الصحةوتزيد من حجممقياس الصحة والتحمل.
5	ترياق	Item	0	علاج للسم.
6	دواء عشبي	Item	1	يزيل كل آثار السم ويستعيدكمية طفيفة من الصحة.
7	نولبيري	Item	1	توت غامض يعالج أوبئة متعددة.
8	مشروب الطاقة	Item	1	شراب مصدَّق من النقابةيعزز من قوة تحمّلك.ويساعد أيضًا على الاستيقاظ!
9	مؤونة	Item	0	طعام يستعيد جزءًا من قوة التحمّل.
10	شريحة لحم مطهية قليلًا	Item	0	تعزز بشكل بسيط منقوة تحمّلك. لا تزال غير مطهوةمن المنتصف.
11	شريحة لحم مطهية جيدًا	Item	1	تعزز بشكل متوسط من قوة تحمّلكوتبقيها في أقصى مستوياتهالفترة أطول. مطهوة بشكل صحيح!
12	لحم محترق	Item	0	تعزز بشكل بسيط منقوة تحمّلك. يمكن أن تؤكل على الفور.
13	مشروب بارد	Item	0	يعطي ارتياح مؤقتمن الحرارة الشديدة.
14	المغذيات	Item	1	تزيد بشكل طفيف للغايةمن مستوى صحتك القصوى.
15	مغذيات هائلة	Item	2	تزيد بشكل طفيفمن مستوى صحتك القصوى.
16	المحصِن	Item	2	يعزز من قدرتك الطبيعية على الشفاء.
17	لحم أستيرا المقدد	Item	1	لحم طري مجفّف صنعه طاهي أستيرا.يعزز من التعافي الطبيعي ومعالجةالنزيف.
18	عصير الاندفاع	Item	1	يلغي الشعور بالإرهاق.ويقلل من استنزاف قوة التحمللفترة.
19	عصير الاندفاع الهائل	Material	3	يجعلك تنطلق دون تعبلمدة أطول من مدة عصيرالاندفاع المعتاد.
20	بذرة القوة	Item	1	تقوّي هجومك بصورة مؤقتةعند ابتلاعها من خلال تحسينتدفق الطاقة.
21	عقار العفريت	Item	3	يعزز من قوة هجومكمن خلال تزويدك بقوةالعفريت غير المتوقعة.
22	عقار العفريت الهائل	Item	4	يعزز من قوة هجومكأكثر من عقار العفريتالعادي.
23	قرص الطّاقة	Item	3	يعطيك قوةعظيمة بشكل مؤقت.يا لصلابته!
24	بذرة الصّلابة	Item	1	ترفع من دفاعك بشكل مؤقت عند ابتلاعها من خلال تقويةالأنسجة.
25	جلد مصفّح	Item	3	تعزز من دفاعك من خلالجعل جلدك قاسِ كالصخر.
26	جلد مصفّح عملاق	Item	4	يعزز من دفاعك أكثر منالدرع المصفح العادي.
27	قرص الصّلابة	Item	3	يجعل جلدك في غايةالصلابة بشكل مؤقت.يا لصلابته!
28	مسحوق الحياة	Item	3	ينشئ سحابة شفاء حول المستخدم.
29	المسحوق العشبي	Item	3	مسحوق غامض ينشئ سحابةحول المنطقة فتستعيد الصحةوتبطل أثر السم.
30	مسحوق العفريت	Item	3	مسحوق غامض ينشئ سحابةحول المنطقة فتقوّي من الهجوم بشكلمؤقت.
31	المسحوق الصلب	Item	3	مسحوق غامضة ينشئسحابة حول المنطقة فتقوّيمن الدفاع بشكل مؤقت.
32	عسل	Item	1	عسل مغذي للغاية. امزجه مع الجرعاتلصنع جرعات عملاقة لأقصى فعالية.
33	عشبة	Item	0	مكوِّن أساسي للجرعات.
34	عشب ترياق	Item	0	مكوِّن أساسي للترياق.
35	عشب النّار	Item	1	نبتة مذهلة قابلة للاشتعال.مفيدة في صناعة المتفجرات.
36	النّبتة المائية	Item	0	تخزّن أوراق هذا النّبات كمّيةكبيرة من المياه. تعدّ مكونًّالصنع ذخيرة الماء.
37	عشب الثّلج	Item	1	نبات يشعّ بهواء ثلجي.استخدمه في مزيج لإنشاءذخيرة تجميد.
38	عشب النّوم	Item	0	نبات يحتوي على عوامل النوم.يُستخدم لعمل مهدئات.
39	اللّبلاب	Item	0	نبتة خفيفةوقوية للغاية. تستخدم لعملشِباك لفخاخ الحفر.
40	مكسّرات الدخان	Item	0	تنتج كمية وافرة من الدخان.ادمجها مع عناصر أخرى كي تُنشئ دخانًابخصائص متعددة.
41	توت تبغضُه التّنانين	Item	3	توت غامض دارت حوله الشائعات منذالعصور القديمة بأن التنانين تبغضه.مطلوب لصناعة ذخيرة التنين.
42	الفطر الأزرق	Item	1	فطر مغمور بتأثيرات محسنة للقوة.يستخدم في العناصر المقوية.
43	تفّاح الجنّ	Item	2	فطر خطير يُقال إنه يستنزف الحياةمن البشر. احترس منه.مطلوب لصنع جرعات قصوى.
44	فطر النّيترو	Item	1	فطر صعب العثور عليهيسمح لك بإطلاق حرارة حارقة.مطلوب لصناعة البارود.
45	وباء الشّيطان	Item	1	فطر نادر جدًا ينبض بحرارة شديدة.قم بإضافته إلى برميل متفجركي تُحدث انفجارًا أقوى.
46	فطر الشّلل	Item	2	فطر يسبب الشلل.مطلوب لصناعة القنابل المهدئة.
47	كمأة	Item	1	فطر سامّ. يمكن استخدامهلكي يكون سُمًّا للسّكاكين.
48	فطر التّشويق	Item	2	يتميّز هذا الفطر برائحة غريبة جدًا.ولكن هل يمكن أكله؟ هناك طريقة واحدةلتعرف! مطلوب لصناعة النواقل البعيدة.
49	الحشرة اللاذعة	Item	0	حشرة لاذعة المذاق ذات قدراتعلاجية طبيعية. وهي مكون لكثير منالأدوية.
50	الحشرات المضيئة	Item	1	حشرة تُصدر وميضًاقويًا حين تموت.مطلوبة لصناعة الكبسولات الوميضة.
51	الحشرة العظيمة	Item	3	قيل أنها تعيش لأكثر من ألف عام.إدمجها بعناصر أخرى كي تضيفخصائصها للمسحوق.
52	الحشرة الصّاعقة	Item	3	حشرة تصدر طاقة كهربائيةحين يتم صعقها. مطلوبةلصناعة فخاخ الصدمة وذخيرة الرعد.
53	حشرة الطُعم	Item	2	حشرة تُستخدم كطُعم للسّمك.تُعتبرالمفضّلة لدى الأسماك،تتنافس عليها الأفواه بشدّة.
54	قرن كيلبي	Item	3	رغم أن قرون كيلبي غير عملية عندصناعة المعدات إلا أنها تعد مكونًامهمًا لكثير من العناصر.
55	مستخلص الإندفاع	Item	3	مادّة غامضة مُستخلصةمن وحوش معينة تزيدمن التحمّل.
56	مستخلص تغذية	Item	3	يمكن الحصول عليه من وحوش عملاقةمعينة. لديه القدرة على إبطال تأثيراتبعض الأدوية.
57	كيس الصّراخ	Item	1	أحد أعضاء الوحوش يصدر انفجارًامدوّيًا يصم الآذان عند تمزقه.يُستخدم لعمل كبسولات الصراخ.
58	المحفز	Item	1	يعمل مع مواد أخرىلتعزيز تأثيرها.لا يمكن أن يُستخدم وحيدًا.
59	قنبلة مهدئة	Item	2	قنبلة يدوية تستخدم لأسرالوحوش الواقعين في الفخاخ.يمكن ضربها في الأرض.
60	كبسولة وميض	Item	1	ذخيرة نبلة المعصم التي تومض بشدةعند التصادم.أطلقها أسفل أنف الوحش كي تعميه.
61	كبسولة الصراخ	Item	1	تستخدم كذخيرة نبلة المعصم.تُصدر صوتًا قويًا عالي التردد،يمكنه زعزعة الوحوش سريعي التأثر.
62	قنبلة دخان	Item	1	تطلق سحابة كبيرة من الدخانأينما تسقط.
63	قنبلة دخان سامة	Item	1	تُطلق سحابة سامة عند استخدامها.وتشتهر بأنها قنبلة حشرية.
64	الناقل البعيد	Item	2	استدعِ وينغدرايك وانتقل لأقرب معسكر.يمكن استخدامه أيضًا أثناء المعارك.
65	لحم نيئ	Item	0	لحم تم تقطيعه من وحش.يمكن طهوه أو جمّعهأو استخدامه لنصب فخ.
66	لحم مسمم	Item	1	لحم نيئ يصيب من يأكلهبالسم. ويعتبر طُعمًا رائعًايستخدم في نصب الفخاخ.
67	لحم مخلوط	Item	1	لحم نيئ يصيب من يأكلهبالشلل. ويعتبر طُعمًا رائعًايستخدم في نصب الفخاخ.
68	لحم مخدِر	Item	1	لحم نيء يضع من يأكله في حالة نعاس.يُعتبر طُعم رائع لنصب الفخاخ.
69	البارود	Item	1	مادة خطيرة تنفجر في حالة الاصطدام بها أو تسخينها.
70	برميل صغير	Item	0	برميل فارغ صغير.
71	برميل متفجر	Item	1	قنبلة موقوتة صغيرة.
72	قنبلة قفز	Item	1	تنطلق في الهواء عند استخدامها،هذه القنبلة المعدّلة تحتاج الىمهارة لاستعمالها.
73	قنبلة مرتدة ضخمة	Item	3	نسخة محسّنة من القنبلة المرتدة،هذه القنبلة المعدّلة تحتاج الىمهارة لاستعمالها.
74	برميل ضخم	Item	1	برميل ضخم فارغ.امزجه مع البارود لتحويلهإلى قنبلة.
75	برميل متفجر ضخم	Item	2	قنبلة قوية تنفجر بواسطةتصادم مادي خارجي.
76	برميل متفجر هائل	Item	3	برميل متفجر ضخمومطوّر. فعّال ضدالوحوش الضخمة.
77	نسيج العنكبوت	Item	0	نسيج في شدة اللزوجة.يُستخدم لصنع فخاخ من الحفر.
78	شبكة	Item	1	شبكة متينة تتحمل قدرًامعينًا من الوزن دون أن تنقطع.ممتازة لشِباك الحفر.
79	أداة الفخ	Item	2	عنصر واجب الحصول عليهلدمج الفخاخ من الحفر وأنواعأخرى من الفخاخ.
80	فخ حفرة	Item	2	فخ مُعدّ للإمساك ببعض الوحوش الضخمة. ويعمل الفخ مع المخلوقاتثقيلة الوزن.
81	فخ الصدمة	Item	2	فخ يصيب الهدف بالشلل.استخدمه للإمساك بالوحوش.
82	روث ملفوف	Item	0	كتلة من روث الوحوش.يُستخدم لعمل كبسولاتمن الروث لنبلة المعصم.
83	روث	Item	0	يصدر رائحة عجيبة. يُستخدم لعمل ذخيرة لنبلة المعصم تُدعى كبسولات الروث.
84	كبسولة الروث	Item	1	ذخيرة نبلة المعصم تُطلقرائحة قوية عند التصادم.تجعل بعض الوحوش تلوذ بالفرار.
85	طُعم الأروانا	Item	1	 كتلة من الطعم مفضلة لدى سمكالأروانا.
86	طُعم سمك البارود	Item	1	كتلة من الطعم مفضلة لدى سمكالبارود.
87	طُعم السمك الذهبي	Item	1	كتلة من الطعم مفضلة لدى السمكالذهبي.
88	البومرانغ	Item	3	سلاح مستورد غريب الشكليعود لحامله بعد إلقائه. 
89	نظارات مكبرة	Item	0	تمكّنك من الرؤية والمراقبةمن على بعد.
90	سحر القوة	Item	4	تميمة تقوّي من الهجوم.بمجرد أن تحملها تمنحك قوة عفريتية.
91	مخلب القوة	Item	4	سحر يقوّي من الهجوم.تأثيره يزيد بواسطة أجزاءالتنين التي يحتوي عليها.
92	سحر الدرع	Item	4	تميمة تزيد من الدفاع.بمجرد أن تحملها يزداد جلدك صلابةكالحجر.
93	مخلب الدرع	Item	4	سحر يزيد منالدفاع. تأثيره يزيد بواسطةأجزاء التنين التي يحتوي عليها.
94	حبة الإبر	Item	0	مكسرات مغطاة بشوك يشبه الإبر.تُستخدم لصنع ذخيرة منتشرة.
95	مكسرات متفجرة	Item	0	مكسرات تُستخدم لعمل ذخيرة لزجة.
96	مكسرات ضربة التنين	Item	1	مكسرات تنفجر عند التصادم.تُستخدم لعمل ذخيرة التنين المجنح.
97	حبة الضربة القاطعة	Item	0	تُستخدم لعمل ذخيرة تقطيع.
98	حبة القفل	Item	0	مكسرات تحتوي على تجويف حلزوني.تُستخدم لعمل ذخيرة ثقب.
99	حبة قنابل	Item	1	مكسرات تنفجر عند التصادم.تُستخدم لعمل قنابل عنقودية.
100	حبة اللهب	Item	1	تُستخدم لعمل باروديزيد من القوة النارية للذخيرة.
101	حبة اللهيب	Item	1	تُستخدم لصنع بارود يزيدبصورة كبيرةمن القوة النارية للذخيرة.
102	بارود من المستوى 2	Item	1	مسحوق قابل للاشتعال.قم بمزجه مع ذخيرةمن المستوى 1 لرفع مستواها.
103	بارود من المستوى 3	Item	1	مسحوق قابل للاشتعال بشكل كبير.قم بمزجه مع ذخيرةمن المستوى 1 لرفع مستواها.
104	زعنفة سمكة وِت	Item	1	زعنفة سمكة تُستخدم لشحذ الأسلحة.تستعيد الحدة بصورة كبيرة، ولكنلمرات استخدام أقل من حجر الشحذ.
