回放ID	回放名称	回放描述
EVC0001	搭船	前往新大陸的船隻終於準備出航。乘船的行列中，也有第五期調查團中一名獵人的身影。
EVC0002	命運的遭遇	在前往新大陸的船上，命運般相遇的人們所遭遇的騷動會是……
EVC0003	空中俯瞰未知的大陸	獵人與接待員從巨大的頭上方抓住翼龍，成功逃離，終於踏上了新大陸。
EVC0051	森林惡棍	獵人與接待員前往調查據點途中，在古代樹森林裡遇到了小型魔物以及凶豺龍。
EVC0004	留下痕跡的是……	接待員循著發現的痕跡追去，出現在眼前的人是……
EVC0005	在關卡的騷動	即將抵達調查據點時，獵人卻被捲入兩頭魔物的爭鬥之中。
EVC0006	抵達星辰	經過漫長的旅途，獵人和接待員終於抵達了目的地調查據點‧星辰。
EVC0052	可靠的狩獵夥伴	抵達星辰後，獵人與在翻船騷動中分散的狩獵夥伴‧隨從重逢。
EVC0055	注意易碎物！	獵人與調查班隊長剛抵達營地設置區，看見的是靈巧使用前腳挖掘壺的搔鳥……
EVC0007	導蟲指示的目標	返回星辰的途中，導蟲對不明事物起了反應。那裡除了激動亢奮的毒妖鳥，還發現到不曾見過的巨大痕跡……
EVC0056	好啦，前往新天地！	在森林與荒地各處發現熔山龍的痕跡。獵人開始執行任務，護衛學者們前往調查。
EVC0008	最好的任務	為了回收熔山龍的痕跡，護衛學者的獵人，卻在任務途中遇到了土砂龍。
EVC0009	龍人族的賢者	獵人在大蟻塚荒地完成護衛學者的任務，並遇到自稱是第一期團獵人的龍人族男子。
EVC0010	險惡的沼澤	為了尋找失蹤的學者，獵人來到沼澤，發現學者正因某種物體殺害了土砂龍而感到恐懼。
EVC0011	飛雷龍飛舞之森	感覺到火熱的氣息，仰望天空的獵人周圍飄下大量的羽毛。棲息在樹上的靈敏牙龍種的威脅將至……！
EVC0012	森林暴徒‧蠻顎龍	展開爭奪地盤、蹂躪對手的蠻顎龍。為了使牠落入陷阱，獵人開始嘗試誘導……
EVC0013	熔山龍捕獲作戰	為解開古龍遷徙之謎，調查團擬定捕獲古龍的作戰計劃。終於，在陽光照亮大峽谷之時，出現了熔山龍的身影。
EVC0014	作戰結束	神秘的黑色魔物闖入。為了繼續作戰，獵人們全力擊退闖入者。終於，捕獲作戰迎來了結束的一刻……
EVC0015	超越大峽谷	追逐熔山龍的獵人與接待員踏入了大峽谷的裂縫。突然出現在兩人面前的世界究竟是……
EVC0060	閃光之主	成群對付獵物的貓蜥龍們發現侵入地盤的眩鳥便立即圍上。然而周圍瞬間被耀眼的閃光籠罩……
EVC0061	浮空的飛龍	獵人追蹤著緩慢浮遊在空中的可疑物體。但一下就跟丟了環顧周圍卻發現……
EVC0016	前往瘴氣之谷	組裝了氣球的研究基地乘著陸珊瑚台地的獨特氣流，飄上半空。然後抵達了目的地瘴氣之谷。
EVC0062	相遇	結束瘴氣之谷探索的接待員與獵人，回到營地遇見了第一期團的原野大師。
EVC0017	骨戰車前往山谷	正在進行痕跡調查的獵人，聽見巨大的地鳴聲，從地底出現的巨大骨戰車強襲而來……！
EVC0018	華麗的天空獵人	為了尋找熔山龍的痕跡，一行人計畫用熱氣球降落至谷底最下層，卻遭到在天空狩獵的風漂龍阻攔。
EVC0019	危機	兩人在調查熔山龍的痕跡，慘爪龍卻突然出現在面前。慘爪龍的目標鎖定在接待員身上……
EVC0020	沉眠谷中的真實	兩人順利與原野大師重逢。根據她娓娓道來的內容，終於解開了古龍渡海的原因。
EVC0021	展翅於森之巔	為了見到古代龍人，兩人來到古代樹頂端。出現在那裡的是憤怒的空之王者火龍。
EVC0022	沙下的狂暴	土砂龍將在大蟻塚荒地飛舞的響翼龍當成獵物，但地底卻突然出現兩根巨角，讓狀況為之一變。
EVC0023	誘導作戰，開始	將熔山龍誘導至外海的作戰，終於開始。
EVC0024	下次的生命之旅	調查團施行的誘導作戰，最後終於讓熔山龍緩緩朝著外海前進了。
EVC0025	神秘王國的女王	為了尋找留下奇妙的痕跡的魔物，兩人造訪了陸珊瑚台地，出現在那裡的是……
EVC0034	大團長登場	終於在新大陸發現亞種。在星辰進行調查時，調查團的隊長‧大團長出現在眼前。
EVC0026	前往龍結晶之地	透過大團長的指引，獵人與接待員抵達有巨大結晶閃耀的地方。
EVC0063	那個大胃王	四面八方鋪滿巨大結晶的洞窟內，岩賊龍默默地吞食著結晶。然而接下來這股食慾找上了獵人。
EVC0027	出現黑色創傷	透過熔山龍，獵人終於和幾度發生衝突的對象，吞噬古龍的古龍‧滅盡龍面對面了。
EVC0028	加深的謎團	獵人終於成功調查完滅盡龍。不過那裡還殘存著好幾個謎團……
