Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Яграс из Древнего леса	Убить 7 яграсов.	Завершение срокаТроекратный обморок
00102	Заваруха с кестодоном	Выполнить задание.	Завершение срокаТроекратный обморок
00103	Охота на большого яграса	Выследить большого яграса.	Завершение срокаТроекратный обморок
00151	Столкновение с природой	Убить 12 кестодонов.	Завершение срокаТроекратный обморок
00152	Заросли головорезов	Убить 7 яграсов.	Завершение срокаТроекратный обморок
00153	Странные грибы Древнего леса	Доставьте 20 вкусных грибов.	Завершение срокаТроекратный обморок
00201	Пернатый разбойник	Выследить кулу-йа-ку.	Завершение срокаТроекратный обморок
00205	Срочно: охота на поки-поки	Выследить поки-поки.	Завершение срокаТроекратный обморок
00241	Изучение когтя	Изучить функции хватательного когтя	Завершение срокаТроекратный обморокВыслежено: большой яграс
00251	Великий обжора	Выследить большого яграса.	Завершение срокаТроекратный обморок
00252	Крушитель лагерей	Выследить кулу-йа-ку.	Завершение срокаТроекратный обморок
00261	Похищение похитителя	Поймать кулу-йа-ку.	Завершение срокаТроекратный обморокКулу-йа-ку убит
00262	Потом и кровью	Убить 7 гаджау.	Завершение срокаТроекратный обморок
00263	Гроза Дикогорья	Убить 14 осоидов.	Завершение срокаТроекратный обморок
00301	Самое приятное задание	Выполнить задание.	Завершение срокаТроекратный обморок
00302	Жуткие тени на болоте	Выполнить задание.	Завершение срокаТроекратный обморок
00305	Летающие искры: тоби-кадачи	Выследить тоби-кадачи.	Завершение срокаТроекратный обморок
00306	Вторжение аньяната	Выследить аньяната.	Завершение срокаТроекратный обморок
00331	Спецарена: поки-поки	Убить поки-поки.	Завершение срокаТроекратный обморок
00332	Спецарена: баррот	Убить баррота.	Завершение срокаТроекратный обморок
00333	Спецарена: тоби-кадачи	Убить тоби-кадачи.	Завершение срокаТроекратный обморок
00351	Нехватка разрывных орехов	Выследить поки-поки.	Завершение срокаТроекратный обморок
00352	Текущее положение	Выследить тоби-кадачи.	Завершение срокаТроекратный обморок
00361	Шпиль и трясина	Выследить баррота.	Завершение срокаТроекратный обморок
00362	Проблема с рыбами	Выследить юратода.	Завершение срокаТроекратный обморок
00363	Неожиданные загвоздки	Доставьте 20 маленьких кактусов.	Завершение срокаТроекратный обморок
00364	Яичница в Дикогорье	Доставьте 2 яйца травоядных.	Завершение срокаТроекратный обморок
00365	Селевый гигант	Поймать баррота.	Завершение срокаТроекратный обморокБаррот убит
00401	На века	Выполнить задание.	Завершение срокаТроекратный обморок
00405	Дутые проблемы	Выследить паолуму.	Завершение срокаТроекратный обморок
00407	Засада на радобаана	Выследить радобаана.	Завершение срокаТроекратный обморок
00408	Легиана: образец изящества	Выследить легиану	Завершение срокаТроекратный обморок
00431	Спецарена: аньянат	Убить аньяната.	Завершение срокаТроекратный обморок
00432	Спецарена: ратиана	Убить ратиану.	Завершение срокаТроекратный обморок
