Achieve ID	Achieve Name	Achieve Desc
000	غازي العالم الجديد	الحصول على كافة الميداليات.
001	مرحبًا بك في العالم الجديد	لديك الحق في تولّي تكليفات 2<ICON STAR_1>.
002	لن يوقف شيء هذه اللجنة	لديك الحق في تولّي تكليفات 3<ICON STAR_1>.
003	المدافع عن أستيرا	لديك الحق في تولّي تكليفات 4<ICON STAR_1>.
004	في العمق	لديك الحق في تولّي تكليفات 5<ICON STAR_1>.
005	من الموت تأتي الحياة	قيادة زوراه ماغداروس بنجاح.
006	إمبراطورة المرتفعات	لديك الحق في تولّي تكليفات 7<ICON STAR_1>.
007	سيصمد واحد ويسقط الآخر	لديك الحق في تولّي تكليفات 8<ICON STAR_1>.
008	نجم الياقوت الأزرق	حل لغز هجرة التنانين المعمِّرة.
009	أعشق حياة الصياد	إكمال 50 مهمة اختيارية.
010	عقل فضولي	إكمال أول استقصاء لك.
011	الصيّاد الممتاز	إكمال 50 استقصاءً.
012	الدخول إلى الحلبة	إكمال أول مهمة حلبة لك.
013	لا مجال للهرب سوى الأعلى	إكمال 50 مهمة حلبة.
014	مستوطنو العالم الجديد	نصب 5 معسكرات.
015	فن التمويه	قم بالهرب من قطيع الجاغراس عن طريقالاختباء في بعض الشجيرات.
016	الصيد للطعام	صيد أول سمكة.
017	شهية للغاية!	طهو أول شريحة لحم مطهية جيدًا.
018	كلما ازداد حجمهم...	امتطاء أول وحش لك.
019	حفريات حية	"صيد سمكة ""الحفريات الحية."""
020	مخلوقات ناعمة للجميع	الإمساك بمخلوق ناعم ودافئ.
021	مخلوقات خشنة للجميع	الإمساك بمخلوق خشن وصلب.
022	سطوع قوس قزح	الإمساك بمخلوق يتلألأ كقوس القزح.
023	عمل مكلَف	الحصول على 100,000 من نقاط البحث
024	صيّاد برغوازي	امتلاك 1,000,000 من الزيني.
025	دفاع حصين	الحصول على 5 قطع شديدة الندرة من الدروع.
026	القوة هي كل شيء	الحصول على 5 أسلحة شديدة الندرة.
027	الانتقال لأعلى	الانتقال إلى غرفة تمت ترقيتها.
028	الأصدقاء الأوائل	مصادقة أول مغير وحوش.
029	الأصدقاء المقربون	رفع كفاءة أي من أجهزة الباليكوإلى المستوى 10.
030	دكتوراه في دراسة الوحوش.	زيادة مستوى البحث (حتى رتبةمرتفعة) لعديد من الوحوش.
031	لا تغضب	صد أول وحش غاضب.
032	لا تُقهر	صيد 50 من الوحوش الغاضبة.
033	تاج مصغر	تسجيل أول تاج مصغر لوحوشمن الرتبة المنخفضة أو المرتفعة.
034	جامع التاج المصغر	الحصول على تاج مصغر لـ 10 وحوشأو أكثر من الرتبة المنخفضة أو المرتفعة.
035	سيد التاج المصغر	الحصول على تاج مصغر لعديدمن الوحوش في سجل الصيد.
036	تاج عملاق	تسجيل أول تاج فضي أو أكثر لوحوشمن الرتبة المنخفضة أو المرتفعة.
037	جامع التاج العملاق	الحصول على تاج ذهبي لـ 10 وحوشأو أكثر من الرتبة المنخفضة أو المرتفعة.
038	سيد التاج العملاق	الحصول على تاج ذهبي لعديدمن الوحوش في سجل الصيد.
039	الأسر المبتدئ	أسر أول وحش لك.
040	الأسر المحترف	أسر 50 وحشًا.
041	ذابح التنانين المعمرة	ذبح 50 من التنانين المعمِّرة.
042	ذابح الوحوش	اصطياد 100 من الوحوش الضخمة.
043	صيّاد الوحوش	صيد 500 من الوحوش الضخمة.
044	النجدة!	إطلاق أول إشارة استغاثة.
045	وصول التعزيزات	استجابة لإشارة الاستغاثة والمساعدة فيإكمال 10 مهمات.
046	اتحاد الصيادين	إكمال المهمة من خلال اللاعبينالمتعددين.
047	اتحاد الصيادين للأبد	إكمال 100 مهمة من خلال اللاعبينالمتعددين.
048	نشر الخبر	تجميع أكثر من 50 بطاقة نقابة.
049	صيّاد معتمَد	تحقيق رتبة الصياد 100.
000doc3	مجموعة جوائز Monster Hunter: World	Invalid Message
050	غازي المناطق النائية عن الساحل	فتح كل ميدالياتMonster Hunter World: Iceborne.
051	بداية بعثة جديدة	اكتساب الحق في تولّيتكليفات رتبة المتميز 1<ICON STAR_1>.
052	حان وقت العمل الجاد	اكتساب الحق في تولّيتكليفات رتبة المتميز 2<ICON STAR_1>.
053	التنين المعمِّر المراوغ	اكتساب الحق في تولّيتكليفات رتبة المتميز 3<ICON STAR_1>.
054	روح لا تُقهر	اكتساب الحق في تولّيتكليفات رتبة المتميز 4<ICON STAR_1>.
055	تنين مجنح عجوز	اكتساب الحق في تولّيتكليفات رتبة المتميز 5<ICON STAR_1>.
056	نهاية وبداية	حل لغز التنين المجنح العجوز.
057	إلى أرض الاكتشافات	الوصول إلى الأراضي التوجيهية.
058	بيئة متطورة	القيام برفع أي منطقة إلى المستوى 7.
059	البحث عن مواد نادرة	جمع المواد في نتوءات التعدين وأكوامالعظام النادرة.
060	مُحقق نهم	تحليل 50 علامة مميزة.
061	نتائج القدر	ذبح نيرغي المخرّب في الأراضي التوجيهية،مما يزيل الحد الأقصى لمستوى رتبة المتميز.
062	سيد المستكشفين	يجب تشييد جميع المعسكرات في نطاقالصقيع.
063	منبع الاسترخاء	قضاء بعض الوقت في ينبوع ساخن طبيعي.
064	مبتدئ المخلب القابض	دراسة أساليب المخلب القابض.
065	البريق الذهبي	يجب الإمساك بمخلوق له بريق ذهبيفي نطاق الصقيع.
066	المشير الودود	يجب الإمساك بمخلوق يبدو أنه يشيرإلى شيء ما.
067	اللحن الجميل	الإمساك بمخلوق يصدرلحنًا جميلًا.
068	اللغز المغمور	يجب الإمساك بمخلوق غامض يختبئتحت سطح الماء.
069	الوهم السماوي	يجب الإمساك بمخلوق خيالييطير في السماء.
070	الحفّار البارع	الإمساك بمخلوق يحب الحفر في الأرض.
071	مخلوقات الأرض	الإمساك بمخلوق حفّار من كل منطقة.
072	الدفاع الصارم	يجب الحصول على خمسة قطع فائقةالندرة من الدروع.
073	الهجوم المدمر	الحصول على 5 أسلحة فائقة الندرة.
074	الكنز الشخصي	التجهّز بأول حلية متدلية لك.
075	الامتطاء الأول	استخدام امتطاء المغير لأول مرة.
076	الراكب المتمرس	استخدام امتطاء المغير عدة مرات.
077	الجامع المبتدئ	العثور على كنزك الأول.
078	الجامع المحنّك	يجب العثور على جميع الكنوزمن مكان واحد.
079	الجامع المُطلق	يجب العثور على جميع الكنوز.
080	منفذ التصميمات	يجب تغيير تصميم غرفتكلأول مرة.
081	المصمم الداخلي	يجب الحصول على 50 نوعًا مختلفًا منتصميمات الغرف للاختيار من بينها.
082	الفنان المعماري	يجب الحصول على 120 نوعًا مختلفًا منتصميمات الغرف للاختيار من بينها.
083	مهندس متلهّف	مساعدة الآلات البخارية 20 مرة.
084	مشغلو آلات بخارية مهرة	تسريع الآلات البخارية.
085	تاج مصغر آخر	الحصول على أول تاج مصغر <LSNR {لك} {لكِ}><LSNR {لأسرك} {لأسركِ}> لحياة مستوطنةفي رتبة المتميز.
086	تاج عملاق آخر	لقد حصلت على أول تاج ذهبي<LSNR {لك} {لكِ}><LSNR {لأسرك} {لأسركِ}>لحياة مستوطنة في رتبة المتميز
087	المراقب المبتدئ	يجب إكمال الطلب الأولللباحث اللينياني.
088	المراقب الممتاز	إكمال طلبات كثيرة لباحث اللينيان.
089	الصيّاد المتعاون	مساعدة صيّاد برتبة منخفضة أو مرتفعةفي 10 مهام كصياد من رتبة المتميز.
090	سيد السادة	الوصول إلى رتبة المتميز 200.
091	سيد الوحوش	رفع مستوى البحث تقريبًا لجميع الوحوشالكبيرة لأقصى حد.
092	جامع التيجان المصغرة الحقيقي	الحصول على تاج مصغر لكل وحش تقريبًا فيسجل صيدك.
093	جامع التيجان الكبيرة الحقيقي	الحصول على تاج ذهبي لكل وحش تقريبًا فيسجل صيدك.
094	بدء الصيد الحقيقي	يجب صيد أول وحش كبير فيمهمة لرتبة المتميز.
095	نبوغ الصياد	يجب صيد 100 وحش كبير في مهامرتبة المتميز.
096	سيد الآسرين	يجب أسر 50 وحشًا كبيرًا في مهامرتبة المتميز.
097	سيد الذابحين	يجب ذبح 50 تنينًا معمِّرًا في مهامرتبة المتميز.
098	مواجهة المجهول	صيد أول وحش متنوع.
099	المُلم بكل شيء	صيد 30 وحشًا متنوعًا.
