Food Code	Food Name	Food Desc
MEAT_00_ID	Бедро виверны	Животная пища. Активирует гастронавыкиотваги. Долгие часы в печи делают мясоочень сочным.
MEAT_01_ID	Стейк из виверны	Животная пища. Активирует гастронавыкиотваги. Мясо тонко нарезано и поджаренона углях.
MEAT_02_ID	Яйцо виверны	Животная пища. Активирует гастронавыкиотваги. Драгоценная добыча из гнезда виверны.
MEAT_03_ID	Хвост виверны	Животная пища. Активирует гастронавыкиотваги. Хвост летающей виверны.Стоит попробовать хотя бы раз в жизни.
MEAT_04_ID	Голова виверны	Животная пища. Активирует гастронавыкиотваги. Это изысканное блюдочасто подают на торжественных пирах.
MEAT_05_ID	Филе виверны	Животная пища. Активирует гастронавыкиотваги. Самое дорогое и ценное мясо виверны.
MEAT_06_ID	Жесткое мясо	Животная пища. Активирует гастронавыкистойкости. Этот кусок придется жевать долго.Такие упражнения отлично укрепляют мышцы челюсти.
MEAT_07_ID	Колючее мясо	Животная пища. Активирует гастронавыкистойкости. Этот кусок мяса не очистили отколючей чешуи, и есть его надо осторожнее.
MEAT_08_ID	Отборное мясо	Животная пища. Активирует гастронавыкистойкости. Стоит недешево, но иногдасебя нужно побаловать.
MEAT_09_ID	Закаленное мясо	Животная пища. Активирует гастронавыки стойкости.Об это мясо можно запросто сломать зуб, зато ононасыщено белками и витаминами.
MEAT_10_ID	Дикий цыпленок	Животная пища. Активирует гастронавыкистойкости. Рекомендуется поглощать жаднои большими кусками.
MEAT_11_ID	Маринованное карпаччо	Животная пища. Активирует гастронавыкистойкости. Сырое мясо пропитано секретнымсоусом и наполнено массой вкусов и ароматов.
MEAT_12_ID	Мясо аптонота	Животная пища. Активирует гастронавыкитонуса. Основа диеты любого охотника.Используется во многих мясных блюдах.
MEAT_13_ID	Печеный апцерос	Животная пища. Активирует гастронавыкитонуса. Это мясо подается большимипорциями и популярно среди голодных охотников.
MEAT_14_ID	Рубленый стейк	Животная пища. Активирует гастронавыкитонуса. Относительно хорошее мясо,порезанное на небольшие кусочки.
MEAT_15_ID	Гигантская вырезка	Животная пища. Активирует гастронавыкитонуса. Ломтик аппетитногои сытного мяса аптонота.
MEAT_16_ID	Большой бургер	Животная пища. Активирует гастронавыкитонуса. Как и любой настоящийбургер, этот едва умещается во рту.
MEAT_17_ID	Гигантский стейк	Животная пища. Активирует гастронавыкитонуса. Восхитительный мраморный стейк.Вызывает аппетит даже на сытый желудок.
MEAT_18_ID	Белая печень	Животная пища. Активирует гастронавыкисмекалки. Популярно благодаря особой текстуре.
MEAT_19_ID	Ребрышки барбекю	Животная пища. Активирует гастронавыкисмекалки. Жирное и ароматноемясо буквально вызывает привыкание.
MEAT_20_ID	Пикантный рубец	Животная пища. Активирует гастронавыкисмекалки. После обильной трапезыпочему-то нельзя усидеть на месте.
