Mission ID	Mission Name	Mission Desc
0	البحث الميداني: نتوءات التعدين	اجمع 6 من نتوءات تعدين.
1	البحث الميداني: نتوءات التعدين	اجمع 12 من نتوءات تعدين.
2	البحث الميداني: أكوام العظام	اجمع 6 من أكوام العظام.
3	البحث الميداني: أكوام العظام	اجمع 12 من أكوام العظام.
4	البحث الميداني: النباتات	اجمع 4 عناصر نباتية.
5	البحث الميداني: النباتات	اجمع 7 عناصر نباتية.
6	البحث الميداني: الفطر	اجمع 4 عناصر فطر.
7	البحث الميداني: الفطر	اجمع 7 عناصر فطر.
8	البحث الميداني: الحشرات	اجمع 3 عناصر حشرات.
9	البحث الميداني: الحشرات	اجمع 5 عناصر حشرات.
10	البحث الميداني: العسل	اجمع عسلًا 3 مرات.
11	البحث الميداني: العسل	اجمع عسلًا 5 مرات.
12	مسح بيئي: صيد وحوش ضخمة	قم بصيد وحشين ضخمين
13	مسح بيئي: صيد وحوش ضخمة	قم بصيد وحش ضخم.
14	مسح بيئي: أسر وحوش ضخمة	قم بأسر وحش ضخم.
15	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 8 وحوش صغيرة.
16	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 16 وحشًا صغيرًا.
17	تقدم البحث: الغابة العتيقة	أكمل مهمتين في الغابة العتيقة.
18	تقدم البحث: الغابة العتيقة	أكمل 3 مهام في الغابة العتيقة.
19	تقدم البحث: نفايات هياكل شرسة	أكمل مهمتين في نفايات الهياكل الشرسة.
20	تقدم البحث: نفايات هياكل شرسة	أكمل 3 مهام في نفايات الهياكل الشرسة.
21	البحث الميداني: نتوءات التعدين	اجمع من 9 نتوءات تعدين.
22	البحث الميداني: نتوءات التعدين	اجمع من 15 نتوءات تعدين.
23	البحث الميداني: أكوام العظام	اجمع 9 من أكوام العظام.
24	البحث الميداني: أكوام العظام	اجمع 15 من أكوام العظام.
25	البحث الميداني: النباتات	اجمع 5 عناصر نباتية.
26	البحث الميداني: النباتات	اجمع 8 عناصر نباتية.
27	البحث الميداني: الفطر	اجمع 5 عناصر فطر.
28	البحث الميداني: الفطر	اجمع 8 عناصر فطر.
29	البحث الميداني: الحشرات	اجمع 4 عناصر حشرات.
30	البحث الميداني: الحشرات	اجمع 7 عناصر حشرات.
31	البحث الميداني: العسل	اجمع عسلًا 4 مرات.
32	البحث الميداني: العسل	اجمع عسلًا 7 مرات.
33	مسح بيئي: صيد وحوش ضخمة	قم بصيد 3 وحوش ضخمة.
34	مسح بيئي: صيد وحوش ضخمة	قم بصيد وحشين ضخمين
35	مسح بيئي: أسر وحوش ضخمة	قم بأسر وحشين ضخمين.
36	مسح بيئي: أسر وحوش ضخمة	قم بأسر وحش ضخم.
37	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 10 وحوش صغيرة.
38	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 20 وحشًا صغيرًا.
39	مسح بيئي: صيد تنين مجنح ذو أنياب	قم بصيد تنينين مجنحين كبيرين ذوي أنياب.
40	مسح بيئي: أسر تنين مجنح ذو أنياب	قم بأسر تنين مجنح كبير ذي أنياب.
41	مسح بيئي: صيد تنين مجنح شبيه بالطيور	قم بصيد تنينين مجنحين كبيرين شبيهين بالطيور.
42	مسح بيئي: أسر تنين مجنح شبيه بالطيور	قم بأسر تنين مجنح كبير شبيه بالطيور.
43	مسح بيئي: صيد تنين مجنح غاشم	قم بصيد تنينين مجنحين كبيرين غاشمين.
44	مسح بيئي: أسر تنين مجنح غاشم	قم بأسر تنين مجنح كبير غاشم.
45	مسح بيئي: صيد تنين مجنح طائر	قم بصيد تنينين مجنحين كبيرين طائرين.
46	مسح بيئي: أسر تنين مجنح طائر	قم بأسر تنين مجنح كبير طائر.
47	تقدم البحث: الغابة العتيقة	أكمل مهمتين في الغابة العتيقة.
48	تقدم البحث: الغابة العتيقة	أكمل 3 مهام في الغابة العتيقة.
49	تقدم البحث: نفايات هياكل شرسة	أكمل مهمتين في نفايات الهياكل الشرسة.
50	تقدم البحث: نفايات هياكل شرسة	أكمل 3 مهام في نفايات الهياكل الشرسة.
51	تقدم البحث: المرتفعات المرجانية	أكمل مهمتين في المرتفعات المرجانية.
52	تقدم البحث: المرتفعات المرجانية	أكمل 3 مهام في المرتفعات المرجانية.
53	تقدم البحث: الوادي المتعفن	أكمل مهمتين في الوادي المتعفن.
54	تقدم البحث: الوادي المتعفن	أكمل 3 مهام في الوادي المتعفن.
55	تقدم البحث: الاستقصاءات	أكمل 2 استقصاءات.
56	تقدم البحث: الاستقصاءات	أكمل 3 استقصاءات
57	مسح بيئي: صيد وحوش ضخمة	صِد وحشين ضخمين ذوي رتبة مرتفعة.
58	مسح بيئي: أسر وحوش ضخمة	قم بأسر وحش ضخم ذو رتبة مرتفعة.
59	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 10 وحوش صغيرة ذات رتبة مرتفعة.
60	تقدم البحث: الغابة العتيقة	أكمل مهمتين من الرتبة المرتفعة في الغابة العتيقة.
61	تقدم البحث: نفايات هياكل شرسة	أكمل مهمتين من الرتبة المرتفعة في أنقاض الهياكل الشرسة.
62	تقدم البحث: المرتفعات المرجانية	أكمل مهمتين من الرتبة المرتفعة في المرتفعات المرجانية.
63	تقدم البحث: الوادي المتعفن	أكمل مهمتين من الرتبة المرتفعة في الوادي المتعفن.
64	تقدم البحث: الاستقصاءات	أكمل استقصاءين من الرتبة المرتفعة.
