Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Jagras de la Forêt ancienne	Abattre 7 Jagras	Temps imparti écouléS'évanouir 3 fois
00102	Cacophonie de Kestodon	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
00103	La chasse au Grand Jagras	Chasser un Grand Jagras	Temps imparti écouléS'évanouir 3 fois
00151	Une herbe plus verte	Tuer 12 Kestodon	Temps imparti écouléS'évanouir 3 fois
00152	Au fond des trous	Abattre 7 Jagras	Temps imparti écouléS'évanouir 3 fois
00153	Chasse aux champis (Forêt ancienne)	Apporter 20 champignons délicats	Temps imparti écouléS'évanouir 3 fois
00201	Tête de piaf chapardeuse	Chasser un Kulu-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
00205	Urgent : Chasse au Pukei-Pukei	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
00241	Tout nouveau, tout beau	Apprendre à manier le grappin	Temps imparti écouléS'évanouir 3 foisGrand Jagras chassé
00251	Le grand glouton	Chasser un Grand Jagras	Temps imparti écouléS'évanouir 3 fois
00252	Casseur de camp	Chasser un Kulu-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
00261	Pris la griffe dans le sac	Capturer un Kulu-Ya-Ku	Temps imparti écouléS'évanouir 3 foisKulu-Ya-Ku tué
00262	Poissons à crocs	Abattre 7 Gajau	Temps imparti écouléS'évanouir 3 fois
00263	Extermination dans le désert	Abattre 14 Vespoid	Temps imparti écouléS'évanouir 3 fois
00301	Sous bonne escorte	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
00302	Marécage mortel	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
00305	Étincelles : Tobi-Kadachi	Chasser un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 fois
00306	Un Anjanath envahissant	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
00331	Arène spéciale : Pukei-Pukei	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
00332	Arène spéciale : Barroth	Chasser un Barroth	Temps imparti écouléS'évanouir 3 fois
00333	Arène spéciale : Tobi-Kadachi	Chasser un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 fois
00351	Pénurie de frag-noix	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
00352	Situation électrique	Chasser un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 fois
00361	Bourbier dans le désert	Chasser un Barroth	Temps imparti écouléS'évanouir 3 fois
00362	Pince-mi et Pince-moi	Chasser un Jyuratodus	Temps imparti écouléS'évanouir 3 fois
00363	Situation épineuse	Livrer 20 cactus nains	Temps imparti écouléS'évanouir 3 fois
00364	Costaud du Désert	Livrer 2 œufs d'herbivore	Temps imparti écouléS'évanouir 3 fois
00365	Barrage au Barroth	Capturer un Barroth	Temps imparti écouléS'évanouir 3 foisBarroth tué
