Achieve ID	Achieve Name	Achieve Desc
000	Conquérant du Nouveau Monde	Obtenir toutes les médailles.
001	Bienvenue dans le Nouveau Monde !	Compléter toutes les Missions principales 1<ICON STAR_1>.
002	Rien n'arrête la Commission	Compléter toutes les Missions principales 2<ICON STAR_1>.
003	Défenseur d'Astera	Compléter toutes les Missions principales 3<ICON STAR_1>.
004	De l'ombre à la lumière	Compléter toutes les Missions principales 4<ICON STAR_1>.
005	Mort et vie	Repousser le Zorah Magdaros.
006	L'Impératrice des Hautes-Terre	Compléter toutes les Missions principales 6<ICON STAR_1>.
007	Il ne peut en rester qu'un	Compléter toutes les Missions principales 7<ICON STAR_1>.
008	L'Étoile de saphir	Élucider le mystère de la Traversée des anciens.
009	La chasse et tout le reste	Compléter 50 Quêtes Libres.
010	La curiosité est un bon défaut	Compléter un Contrat.
011	Un esprit d'exception	Compléter 50 Contrats.
012	Force et honneur	Compléter une Quête Arène.
013	Ne vous êtes-vous pas assez divertis ?	Compléter 50 Quêtes Arène.
014	Sans frontières	Établir 5 camps.
015	Art du camouflage	Échapper à la meute de Jagrasen vous camouflant.
016	Ça mord !	Pêcher un poisson.
017	À table !	Cuisiner un steak à point.
018	Plus c'est gros...	Monter sur un monstre.
019	Fossile vivant	"Capturer le ""fossile vivant""."
020	Instant câlin	Capturer une créature au poil soyeux.
021	Solide comme un roc	Capturer une créature à la carapace dure.
022	De toutes les couleurs	Capturer une créature qui brillecomme un arc-en-ciel.
023	Discours de la méthode	Obtenir 100 000 points de recherche.
024	Tais-toi ! Prends mes zenny !	Avoir 1 million de zenny en sa possession.
025	La meilleure défense, c'est la défense	Obtenir 5 armures très rares.
026	La puissance avant tout	Obtenir 5 armes très rares.
027	Vue sur mer	Accéder à une plus belle chambre.
028	Premiers amis	Devenir ami avec un Chasseur de miaonstres.
029	Ami pour toujours	Augmenter la maîtrise d'un gadget Palicoau niveau 10.
030	Professeur ès monstrum	Maximiser le niveau de recherche(Rang Expert) sur beaucoup de monstres.
031	Monstre Alpha	Chasser un monstre alpha.
032	Indomptable	Chasser 50 monstres alpha.
033	Baron de la chasse	Obtenir une petite couronne pour unmonstre de Rang Novice ou Expert.
034	Marquis de la chasse	Obtenir une petite couronne pour 10monstres de Rang Novice ou Expert.
035	Prince de la chasse	Obtenir une petite couronnepour beaucoup de monstres.
036	Roi de la chasse	Obtenir une grande couronne (argent ouor) pour un monstre de Rang Novice ouExpert.
037	Empereur de la chasse	Obtenir une grande couronne en or pour10 monstres de Rang Novice ou Expert.
038	Dieu de la chasse	Obtenir une grande couronneen or pour beaucoup de monstres.
039	Vif de préférence	Capturer un monstre.
040	Pacifiste	Capturer 50 monstres.
041	Aucun respect	Tuer 50 dragons anciens.
042	Tueur de monstres	Chasser 100 grands monstres.
043	Monster Hunter	Chasser 500 grands monstres.
044	SOS !	Envoyer une fusée de détresse.
045	Les renforts arrivent	Répondre à une fusée de détresseet aider à compléter 10 quêtes.
046	L'union fait la force	Compléter une quête en mode multijoueur.
047	Chasseurs, rassemblement !	Compléter 100 quêtes en mode multijoueur.
048	Réseau social	Collectionner 50 Cartes Guilde.
049	Chasseur ultime	Atteindre le Rang de Chasseur 100.
000doc3	Les trophées pour Monster Hunter: World.	Invalid Message
050	Le chasseur qui venait du froid	Obtenir toutes les médailles pourMonster Hunter World: Iceborne.
051	Un nouveau départ	Accéder aux Missions de Rang Maître 1<ICON STAR_1>.
052	Ça va chauffer !	Accéder aux Missions de Rang Maître 2<ICON STAR_1>.
053	L'insaisissable dragon ancien	Accéder aux Missions de Rang Maître 3<ICON STAR_1>.
054	Esprit indomptable	Accéder aux Missions de Rang Maître 4<ICON STAR_1>.
055	La vouivre immortelle	Accéder aux Missions de Rang Maître 5<ICON STAR_1>.
056	Une histoire sans fin	Élucider le mystèrede la vouivre immortelle.
057	La terre des découvertes	Atteindre le Fief glorieux.
058	Écologie en évolution	Améliorer un biome au niveau 7.
059	Croqueuse de diamants	Récolter des matériaux sur des carcassesou des gisements miniers géants dansle Fief glorieux.
060	Les liaisons dangereuses	Analyser 50 phéromones.
061	Destin accompli	Tuer le Nergigante chaos dans le Fiefglorieux et débloquer la limite pour leRang Maître.
062	Rendez-vous en terre connue	Établir tous les camps dansle Givre éternel.
063	OKLM	Se prélasser dans une sourced'eau chaude naturelle.
064	J'aime trop ton grappin	Étudier le maniement du grappin.
065	Le silence est d'or	Capturer une créature à la lueurdorée dans le Givre éternel.
066	La flèche bleue	Capturer une créature qui sembleindiquer quelque chose.
067	Quand la musique est bonne	Capturer une créature quiproduit une belle mélodie.
068	Le parfum de l'invisible	Capturer une mystérieuse créaturese cachant dans l'eau.
069	Juste une illusion	Capturer une créature fantastiqueflottant dans l'air.
070	Des petits trous, des petits trous	Capturer une créatureaimant creuser des trous.
071	Toujours des petits trous !	Capturer une créature fouisseusedans chaque région.
072	Tous en défense !	Obtenir 5 armures extrêmement rares.
073	À l'attaque, toute !	Obtenir 5 armes extrêmement rares.
074	Bling-bling	Équiper un accessoire pour votre arme.
075	Premier galop	Utiliser un miaonstre en tant que monture.
076	Dompteur de miaonstres	Utiliser de nombreux miaonstresen tant que montures.
077	Sa place est dans un musée	Trouver un trésor.
078	La grande razzia	Trouver tous les trésors d'une région.
079	Les sousous dans la popoche	Trouver tous les trésors.
080	Home Sweet Home	Changer l'intérieur de votre chambre.
081	Décorateur mais pas trop	Posséder 50 types de décos.
082	Faites comme chez vous !	Posséder 120 types de décos.
083	À toute vapeur	Utiliser le Vaporium 20 fois.
084	La banque ne gagne pas toujours	Toucher le jackpot au Vaporium.
085	C'est pas la taille qui compte	Obtenir une petite couronne en capturantun animal de Rang Maître.
086	Plus c'est grand, mieux c'est	Obtenir une grande couronne en or encapturant un animal de Rang Maître.
087	Photographe en herbe	Compléter une requête pour le Lynologue.
088	Nature et découvertes	Compléter de nombreuses requêtespour le Lynologue.
089	Tous les cris les SOS	Aider d'autres chasseurs de Rang Noviceou Expert sur 10 quêtes en tant quechasseur de Rang Maître.
090	La crème de la crème	Atteindre le Rang Maître 200.
091	Gymnastique cérébrale	Maximiser le niveau de recherche pourpresque tous les grands monstres.
092	Petit marquis de la chasse	Obtenir une petite couronne pourpresque tous les monstres.
093	Grand marquis de la chasse	Obtenir une grande couronne en orpour presque tous les monstres.
094	Un chasseur sachant chasser	Chasser un grand monstre de Rang Maître.
095	Plus rien à prouver	Chasser 100 grands monstresde Rang Maître.
096	Aimons-nous vivants	Capturer 50 grands monstresde Rang Maître.
097	Espèce en voie de disparition	Tuer 50 dragons anciens de Rang Maître.
098	Rencontre du troisième type	Chasser une variété de monstre.
099	On aura tout vu !	Chasser 30 variétés de monstres.
