Gallery ID	Gallery Name	Gallery Desc
EVC0001	بدء الرحلة	انطلق الأسطول الخامس في رحلتهإلى العالم الجديد. انضم للأسطولصياد واعد.
EVC0002	مواجهات مصيرية	تلاقت الأرواح المتآلفة في اجتماعمبارك تبعه اختلال مشؤوم. فما سببه...؟
EVC0003	الاطلاع على العالم الجديد	هرب الصياد والعاملة جوّا من العملاقالمجهول،وحلقا في العالم الجديد المضيء.
EVC0051	محتالو الغابة	بعدما كانا عالقين في منتصف الغابة العتيقة، اتجه الثنائي للقاعدةولكن اعترض طريقهما مجموعة من الجاغراس.
EVC0004	أصابته الدهشة	أثناء انشغال العاملة بالعلامات،فجأة انقض عليهاالوحش ذاته الذي تركها.
EVC0005	اشتباك في نقطة التحقق	علق الصياد في صراع محتدمبين وحشين قبل أن يصلواإلى القاعدة.
EVC0006	أستيرا	وصل الصياد والعاملة إلى بر الأمانفي قاعدة اللجنة، أستيرابعد انتهاء مغامرتهما المفاجئة.
EVC0052	رفيق الصيد الجدير بالثقة	بعد أن فرقتهماملاقاة الوحش الهائل،اتحد الصياد مع الباليكو الخاص به مجددًا.
EVC0055	ضعيف: عامله برفق	الصياد وقائد الفريق الميدانيفي مواجهة كولو-يا-كو كاسحفي المعسكر المُحطم.
EVC0007	اتباع ذباب الاستطلاع	تتجسس المجموعة التي يقودها ذباب الاستطلاع على بوكي-بوكييبدو غاضبًا من فضلات مشتعلة غامضة.
EVC0056	مخاطرة الأنقاض	يستعد الصياد لمرافقة العلماءفي استقصائهم لأثر ربماخلفه زوراه ماغداروس.
EVC0008	مخاطر المهمة	صادفت المجموعة باروث يندفعمن الهياكل الشرسة في أثناء بحثهاالمتلهف لاسترداد العينات.
EVC0009	البشري التنين الحكيم	التقى الصياد بعد مرافقته للعلماءبنجاح، بصياد غامض من البشر التنانينوعضو الأسطول الأول.
EVC0010	المستنقع المضطرب	أثناء بحث الصياد عن العالِمالمفقود، عثر عليه وهو يرتعد خوفًابعدما واجه وحشًا مرعبًا.
EVC0011	توبي-كاداتشي العظيم	شعر الصياد بخطر بعد سقوط الريش عليهوإذ به ينظر إلى الأعلى ليجدوحشًا جديدًا يستقر على الأشجار.
EVC0012	أنجاناث، الثائر	يخوض الصياد مهمة خطرة:لاستدراج أنجاناث المنطقةالعنيف إلى الفخ.
EVC0013	عملية الأسر	تعد اللجنة خطة لأسرزوراه ماغداروس. هناك بصيص أمل، ولكن هلسينكشف سر هجرة التنانين المعمِّرة؟
EVC0014	النتيجة النهائية	يعيق وحش جديد وغريب العملية.يبذل الصياد كل قوته لإبعاده،ولكن هل ستنجح العملية؟
EVC0015	عبر الوادي الكبير	عبر الصياد والعاملة الواديإلى موقع مذهل وهمايتتبعان زوراه ماغداروس.
EVC0060	الدفاع المنيع	تحيط مجموعة من الشاموس الجائعةبتسيتسي-يا-كو، وإذ فجأةً ينتشروميض ساطع في أرجاء المنطقة.
EVC0061	البشري التنين المُرفرف	فقد الصياد أثر مخلوق طائرمريب بعد أن تقفى أثره،ثم وجد نفسه يقف أمامه.
EVC0016	رحلة الوادي المتعفن	ركب أفراد قاعدة البحث تيارًا مميزًا بعدتزودهم بمناطيد جديدة ليحلقوا فيالسماوات. أما وجهتهم: فهي الوادي المتعفن.
EVC0062	صديق جديد	اجتمع الصياد والعاملة في المعسكرحيث سيقابلان المتعقب،بعد استكشافهما للوادي المتعفن.
EVC0017	العملاق العظمي	انقطع استقصاء الصياد.فالأرض ترتعد وتُقذف عظامًاوحشية من كل جانب.
EVC0018	صياد الجوّ الأنيق	أفسد ليغيانا خطط الجميع قبل أنيستقلوا السفينة الجويةإلى الوادي بحثًا عن آثار زوراه.
EVC0019	متاعب الوادي	صادف الثنائي أودوغارون أثناءاقتفاءهم لأثر زوراه ماغداروس.وقد أراد العاملة فريسةً له...
EVC0020	إجابات الوادي	التقى الثنائي بالمتعقبة التيتساعدهم على اكتشاف سرهجرة التنانين المعمِّرة.
EVC0021	تاج الشجرة العتيقة	تسلق الثنائي شجرة عتيقة بحثًاعن أول بشري تنين ولكنهم وجدواراذالوس، ملك السموات، في انتظارهم.
EVC0022	غضب تحت الرمال	تحول شجار بين نويوس وباروث إلى صراع دموي بعد ظهور شيطانذو قرنين من باطن الرمال.
EVC0023	بداية عملية الاستدراج	أوشكت عملية استدراج زوراهماغداروس إلى البحر على البدء.
EVC0024	الحياة تستمر	انتهت عملية اللجنة بنجاح.يشاهدون منتصرين في أثناء توجهزوراه ماغداروس إلى البحر.
EVC0025	ملكة البلاد الغريبة	انطلق الثنائي إلى المرتفعات المرجانيةبحثًا عن مصدر الآثار المريبة.ماذا ينتظرهم؟
EVC0034	ظهور الأميرال المفاجئ	اكتُشفت سلالة فرعية في العالمالجديد. يظهر الأميرال أثناء بدأالاستقصاء عن هذه الظاهرة.
EVC0026	نحو المخبأ	دخل الصياد والعاملة أرضًا تعجبالبلور البراق الشاهقتحت قيادة الأميرال.
EVC0063	الشره البلوري	يلتهم الدودوغما الضاري البلورفي حالة سخط في مغارة تتلألأثم يتحول انتباهه إلى الصياد.
EVC0027	السهم الأسود	واجه الصيادمفترس التنانين المعمِّرةأخيرًا، نيرغي المهيب.
EVC0028	الألغاز الغامضة	رغم انتصار الصياد في معركتهعلى نيرغي، لا تزال هناك ألغازًالم يكتشفها بعد.
EVC0064	بشري الحمم التنين	تهتز الأرض تحت قدمي الصيادحيث يبدو الجو مضطربًا في مغارةتعج بالحمم الساخنة.
EVC0065	الرعد المدوي	يندفع ترس صلب وضخم عبرمخبأ التنين المعمِّر، ويبعثرالصخور المحترقة عند مروره...
EVC0029	فال هازاك الشرير	تترك مجموعة غيروسفريستها سعيًا وراء الصياد،غافلةً عن تلوي فريستها خلفها.
EVC0030	كوشالا داورا، تنين الصلب	حملت دوامة الرياح الصياد بعيدًا لتخرجهمن حلم اليقظة والسعادة الغامرةالتي شعر بها في غابة البلور البراق.
EVC0031	تيوسترا الجحيمي	اعترضت الصياد ألسنة من اللهبعند تقدمه بحذر في نفق يعجبالحمم، ولكنه تحملها ليعثر على...
EVC0032	تلاقي البرية	وصلت المجموعة إلى نقطة تلاقيالتيار الأمدي حيث عثروا على مخلوقمجهول يرقد داخل غلافه...
EVC0033	اكتمال المهمة	هرب الصياد بعد القضاءعلى تهديد الوحش المجهول عندمابدأ كل شيء بالانهيار.
