回放ID	回放名称	回放描述
EVC0001	搭船	前往新大陆的船只终于准备出航。乘船的行列中，也有第五期调查团中一名猎人的身影。
EVC0002	命运的遭遇	在前往新大陆的船上，命运般相遇的人们所遭遇的骚动会是……
EVC0003	空中俯瞰未知的大陆	猎人与接待员从巨型的头上方抓住翼龙，成功逃离，终于踏上了新大陆。
EVC0051	森林恶棍	猎人与接待员前往调查据点途中，在古代树森林里遇到了小型怪物以及贼龙。
EVC0004	留下痕迹的是……	接待员循着发现的痕迹追去，出现在眼前的人是……
EVC0005	在关卡的骚动	即将抵达调查据点时，猎人却被卷入两头怪物的争斗之中。
EVC0006	抵达星辰	经过漫长的旅途，猎人和接待员终于抵达了目的地调查据点·星辰。
EVC0052	可靠的狩猎伙伴	抵达星辰后，猎人与在翻船骚动中分散的狩猎伙伴与随从重逢。
EVC0055	注意易碎物！	猎人与调查班队长刚抵达营地设置区，看见的是灵巧使用前脚挖掘壶的搔鸟……
EVC0007	导虫指示的目标	返回星辰的途中，导虫对不明东西起了反应。在那里的是亢奋的毒妖鸟，同时发现了不曾见过的巨型痕迹……
EVC0056	好啦，前往新天地！	在森林与荒地各处发现熔山龙的痕迹。猎人开始执行任务，护卫学者们前往调查。
EVC0008	横冲直撞的家伙们	为了回收熔山龙的痕迹，护卫学者的猎人，却在任务途中遇到了土砂龙。
EVC0009	龙人族的贤者	猎人在大蚁冢荒地完成护卫学者的任务，并遇到自称是第一期团猎人的龙人族男子。
EVC0010	险恶的沼泽	为了寻找失踪的学者，猎人来到沼泽，发现学者正因某种物体加害了土砂龙而感到恐惧。
EVC0011	飞雷龙飞舞之森	感觉到火热的气息，仰望天空的猎人周围飘下大量的羽毛。对栖息在树上的灵敏牙龙种的威胁将至……！
EVC0012	森林暴徒·蛮颚龙	展开争夺地盘、蹂躏对手的蛮颚龙。为了使它落入陷阱，猎人开始尝试诱导……
EVC0013	熔山龙捕获作战	为解开古龙迁徙之谜，调查团拟定捕获古龙的作战计划。终于，在阳光照亮大峡谷之时，出现了熔山龙的身影。
EVC0014	作战结束	神秘的黑色怪物闯入。为了继续作战，猎人们全力击退闯入者。终于，捕获作战迎来了结束的一刻……
EVC0015	超越大峡谷	追逐熔山龙的猎人与接待员踏入了大峡谷的裂缝。突然出现在两人面前的世界究竟是……
EVC0060	闪光之主	成群对付猎物的猫蜥龙们发现侵入地盘的眩鸟便立即围上。然而周围瞬间被耀眼的闪光笼罩……
EVC0061	浮空的飞龙	猎人追踪着缓慢浮游在空中的可疑物体。但一下就跟丢了，环顾周围却发现……
EVC0016	前往瘴气之谷	组装了气球的研究基地乘着陆珊瑚台地的独特气流，飘上半空。然后抵达了目的地瘴气之谷。
EVC0062	相遇	结束瘴气之谷探索的接待员与猎人，回到营地遇见了第一期团的原野大师。
EVC0017	骨战车前往山谷	正在进行痕迹调查的猎人，听见巨型的地鸣声，从地底出现的巨型骨战车强袭而来……！
EVC0018	华丽的天空猎人	为了寻找熔山龙的痕迹，一行人计划用热气球降落至谷底最下层，却遭到在天空狩猎的风漂龙阻拦。
EVC0019	危机	两人在调查熔山龙的痕迹，惨爪龙却突然出现在面前。惨爪龙的目标锁定在接待员身上……
EVC0020	沉眠谷中的真实	两人顺利与原野大师重逢。根据她娓娓道来的内容，终于解开了古龙渡海的原因。
EVC0021	展翅于森之巅	为了见到古代龙人，两人来到古代树顶端。出现在那里的是愤怒的空之王者火龙。
EVC0022	沙下的狂暴	土砂龙将在大蚁冢荒地飞舞的响翼龙当成猎物，但地底却突然出现两根巨角，让状况为之一变。
EVC0023	诱导作战，开始	将熔山龙诱导至外海的作战，终于开始。
EVC0024	下次的生命之旅	调查团施行的诱导作战，最后终于让熔山龙缓缓朝着外海前进了。
EVC0025	神秘王国的女王	为了寻找留下奇妙的痕迹的怪物，两人造访了陆珊瑚台地，出现在那里的是……
EVC0034	大团长登场	终于在新大陆发现亚种。在星辰进行调查时，调查团的队长·大团长出现在眼前。
EVC0026	前往龙结晶之地	通过大团长的指引，猎人与接待员抵达有巨型结晶闪耀的地方。
EVC0063	那个大胃王	四面八方铺满巨型结晶的洞窟内，岩贼龙默默地吞食着结晶。然而接下来这股食欲找上了猎人。
