Achieve ID	Achieve Name	Achieve Desc
000	Zdobywca Nowego Świata	Zdobądź wszystkie medale.
001	Witaj w Nowym Świecie	Zdobądź prawo do wykonywaniazleceń 2<ICON STAR_1>.
002	Komisja nie cofnie się przed niczym	Zdobądź prawo do wykonywaniazleceń 3<ICON STAR_1>.
003	Obrońca Astery	Zdobądź prawo do wykonywaniazleceń 4<ICON STAR_1>.
004	W głąb	Zdobądź prawo do wykonywaniazleceń 5<ICON STAR_1>.
005	Śmierć rodzi życie	Z powodzeniem poprowadź Zoraha Magdarosa. 
006	Cesarzowa Pogórza	Zdobądź prawo do wykonywaniazleceń 7<ICON STAR_1>.
007	Jeden pozostanie, jeden upadnie	Zdobądź prawo do wykonywaniazleceń 8<ICON STAR_1>.
008	Szafirowa Gwiazda	Rozwikłaj zagadkę Migracji Starszych.
009	Pojedziemy na łów	Ukończ 50 zadań opcjonalnych.
010	Dociekliwy umysł	Ukończ pierwsze śledztwo.
011	Wierny łowca	Ukończ 50 śledztw.
012	Wejdź na Arenę	Ukończ pierwsze zadanie na Arenie.
013	Tylko w górę	Ukończ 50 zadań na Arenie.
014	Osadnik w Nowym Świecie	Załóż pięć obozów.
015	Sztuka kamuflażu	Wymknij się stadu Jagrasów,ukrywając się w krzakach.
016	Rybka połknęła haczyk	Złap swoją pierwszą rybę.
017	Pycha!	Przyrządź swój pierwszydobrze wysmażony stek.
018	Wielki do nieba...	Dosiądź swojego pierwszego potwora.
019	Żywa skamielina	Złap rybę nazywaną „żywą skamieliną”.
020	Tulaski dla wszystkich	Złap puchate, przytulaśne stworzenie.
021	Szczecina dla wszystkich	Złap szorstkie, pokryteszczeciną stworzenie.
022	Jasne jak tęcza	Złap stworzenie mieniące się tęczowo.
023	Zlecona robota	Zdobądź 100 000 punktów badawczych.
024	Łowca-burżuj	Miej 1 000 000 zeni.
025	Obrona nie do pokonania	Zdobądź pięć bardzo rzadkichelementów pancerza.
026	Moc jest wszystkim	Zdobądź pięć bardzo rzadkich broni.
027	Elegancka chata	Przenieś się do ulepszonego pokoju.
028	Pierwsi przyjaciele	Zaprzyjaźnij się z pierwszym ogonowcem.
029	Nierozłączki	Podnieś biegłość w używaniu dowolnegogadżetu koleżkota do poziomu 10.
030	Doktor potworologii	Podnieś do maksimum poziom badań(do wysokiego poziomu) wielu potworów.
031	Polowanie z hartem	Upoluj pierwszego zahartowanego potwora.
032	Niezłomny	Upoluj 50 zahartowanych potworów.
033	Miniaturowa korona	Odnotuj pierwszą miniaturową koronęza potwory niskiego lub wysokiegopoziomu.
034	Kolekcjoner miniaturowych koron	Zdobądź miniaturową koronę za 10 lub więcejpotworów niskiego lub wysokiegopoziomu.
035	Mistrz miniaturowych koron	Zdobądź miniaturową koronę za wielepotworów w rejestrze łowów.
036	Ogromna korona	Odnotuj pierwszą co najmniej srebrnąkoronę za potwory niskiego lub wysokiegopoziomu.
037	Kolekcjoner ogromnych koron	Zdobądź złotą koronę za 10 lub więcejpotworów niskiego lub wysokiego poziomu.
038	Mistrz ogromnych koron	Zdobądź złotą koronę za wielepotworów w rejestrze łowów.
039	Adept łapania	Złap swojego pierwszego potwora.
040	Spec od łapania	Złap 50 potworów.
041	Pogromca Starszych	Zabij 50 Starszych Smoków.
042	Pogromca potworów	Upoluj 100 dużych potworów.
043	Łowca potworów	Upoluj 500 dużych potworów.
