交货委托ID	交货委托名称	交货委托回报
0	发芽吧古代树	活性剂
1	草木们，健康地成长吧。	植物肥料·大
2	蘑菇堆积如山！	严选蘑菇菌床
3	招虫名树计划	浓厚招虫果冻
4	古代树萌芽突破天际	远古活性剂
5	柔和的土壤是古代树的温床	软土
6	嘲笑收纳者将为收纳而哭泣	收获箱的扩张
7	收纳这种事既简单又难办	收获箱的扩张
8	古代树森林营地计划之1	北西营地(8)
9	古代树森林营地计划之2	古代树营地(17)
10	大蚁冢荒地营地计划之1	中央营地(6)
11	Unavailable	Unavailable
12	大蚁冢荒地营地计划之2	北东营地(15)
13	陆珊瑚台地营地计划	北东营地(12)
14	龙结晶之地营地计划之1	东营地(8)
15	龙结晶之地营地计划之2	北西营地(16)
16	幸福的捷径	缆车
17	开发武器店的特殊装备	耐水衣装
18	再次开发武器店的特殊装备	耐寒衣装
19	蘑菇发出的丰富香气	帝王松露
20	炖煮烧烤都美味的鱼	咬鱼的下巴
21	如宝石般的虾	珊瑚虾
22	胜过百万金景色的蔬菜	百万卷心菜
23	活了上千年的螃蟹！？	千年蟹
24	那鲜红的是蕃茄还是熔岩？	霜降蕃茄
25	爆浆肉汁的抵抗	豪快臀肉
26	连骨带肉的抵抗	高级羊肉
27	古代鱼的洗礼	古代真鲷
28	拥有五种面貌的蔬菜	五香芹菜
29	甜椒七变！	七彩甜椒
30	配得上达人的一杯	达人啤酒
31	注意会喷火的美酒	火龙威士忌
32	取得回复药·大	骰子肉
33	生产外观装备【寂】：头部	黎明武士【寂】·头部
34	生产外观装备【寂】：身体	黎明武士【寂】·身体
35	生产外观装备【寂】：腕部	黎明武士【寂】·腕部
36	生产外观装备【寂】：腰部	黎明武士【寂】·腰部
37	生产外观装备【寂】：脚部	黎明武士【寂】·脚部
38	生产外观装备【誉】：头部	黎明武士【誉】·头部
39	生产外观装备【誉】：身体	黎明武士【誉】·身体
40	生产外观装备【誉】：腕部	黎明武士【誉】·腕部
41	生产外观装备【誉】：腰部	黎明武士【誉】·腰部
42	生产外观装备【誉】：脚部	黎明武士【誉】·脚部
43	生产外观装备【旅团】	【旅团】服装
44	生产外观装备【盛开】	【盛开】服装
45	生产外观装备【死神】	【死神】服装
46	生产外观装备【潜水员】	【潜水员】服装
47	生产外观装备【墨镜】	【墨镜】服装
48	生产外观装备【蝴蝶】	【蝴蝶】服装
49	生产外观装备【但丁】	【但丁】服装
50	生产外观装备【腾龙】	【腾龙】服装
51	生产外观装备【公会十字】	【公会十字】服装
52	生产外观装备【收获】	【收获】服装
53	生产外观装备【蘑菇猪头套】	【蘑菇猪头套】服装
54	生产外观装备【艾露猫头套】	【艾露猫头套】服装
55	HARDUMMY	HARDUMMY
56	生产外观装备【原型】	【原型】服装
57	HARDUMMY	HARDUMMY
58	生产外观装备【追踪者】	【追踪者】服装
59	生产外观装备【猎户星】	【猎户星】服装
60	生产外观装备【封印的眼罩】	【封印的眼罩】服装
61	生产外观装备【摇曳鳗头套】	【摇曳鳗头套】服装
62	生产外观装备【骷髅面罩】	【骷髅面罩】服装
63	HARDUMMY	HARDUMMY
64	生产外观装备【盛装】	【盛装】服装
65	生产外观装备【甲虫】	【甲虫】服装
66	Unavailable	Unavailable
67	生产外观装备【扒手龙头套】	【扒手龙头套】服装
68	生产外观装备【刺客】	【巴耶克】服装
69	开发刺客的特殊装备	刺客衣装
70	生产外观装备【杰洛特】	【杰洛特】服装
71	生产外观装备【希里】	【希里】服装
72	狂热蒸馏酒	疯狂龙舌兰酒
73	技术者性格	强化耐龙衣装
74	永霜冻土营地计划之1	中央营地(7)
75	永霜冻土营地计划之2	北东营地(15)
76	聚魔之地营地计划	东营地(3)
77	充满生命力的画作！	画作【古代树森林】
78	充满力量的画作！	画作【大蚁冢荒地】
79	滋润心灵的画作！	画作【陆珊瑚台地】
80	恐怖气息的画作！	画作【瘴气之谷】
81	热气腾腾的画作！	画作【龙结晶之地】
82	寒气飕飕的画作！	画作【永霜冻土】
83	画出迅龙！	画作【迅龙】
84	画出熔山龙！	画作【熔山龙】
85	刻命打字机	打字机
86	靠得住的物品箱	置物箱
87	欢迎来到我家！【万福】	雪人【万福】
88	我家也有热闹的宴会【万福】	万福提灯
89	欢迎来到我家！【大感谢】	雪人【大感谢】
90	我家也有热闹的宴会【大感谢①】	艾露猫气球
91	我家也有热闹的宴会【大感谢②】	德特尔气球·白
92	我家也有热闹的宴会【大感谢③】	德特尔气球·黑
93	我家也有热闹的宴会【大感谢④】	奇面族气球
94	欢迎来到我家！【盛放】	雪人【盛放】
95	我家也有热闹的宴会【盛放①】	华丽的地毯（1楼）
96	我家也有热闹的宴会【盛放②】	华丽的地毯（2楼）
97	我家也有热闹的宴会【盛放③】	花饰【小】
98	我家也有热闹的宴会【盛放④】	花饰【大】
99	Unavailable	Unavailable
100	Unavailable	Unavailable
101	Unavailable	Unavailable
102	Unavailable	Unavailable
103	Unavailable	Unavailable
104	Unavailable	Unavailable
105	Unavailable	Unavailable
106	Unavailable	Unavailable
